X : -46.0, Y : -57.69999694824219
X : -45.97136306762695, Y : -57.69987487792969
X : -45.50109100341797, Y : -57.638240814208984
X : -44.82932662963867, Y : -57.543636322021484
X : -44.06553649902344, Y : -57.48290252685547
X : -43.14564514160156, Y : -57.410072326660156
X : -41.858543395996094, Y : -57.3066291809082
X : -40.56755828857422, Y : -56.91115951538086
X : -39.255859375, Y : -56.23347091674805
X : -37.7476692199707, Y : -55.6191291809082
X : -36.179141998291016, Y : -54.97857666015625
X : -34.80296325683594, Y : -54.41620635986328
X : -33.364898681640625, Y : -53.4970588684082
X : -32.392967224121094, Y : -52.52044677734375
X : -31.097055435180664, Y : -51.419960021972656
X : -29.753997802734375, Y : -50.27861785888672
X : -28.784828186035156, Y : -49.46086502075195
X : -27.423580169677734, Y : -47.73281478881836
X : -26.647106170654297, Y : -46.280696868896484
X : -25.81621742248535, Y : -44.97901153564453
X : -25.66438865661621, Y : -44.97444152832031
X : -25.66267204284668, Y : -44.975852966308594
X : -25.66152000427246, Y : -44.97677993774414
X : -25.66013526916504, Y : -44.97792053222656
X : -25.659008026123047, Y : -44.97887420654297
X : -25.65768814086914, Y : -44.979183197021484
X : -25.65644645690918, Y : -44.97956466674805
X : -25.655439376831055, Y : -44.98063278198242
X : -25.654220581054688, Y : -44.98051834106445
