X : -46.0, Y : -57.69999694824219
X : -45.99615478515625, Y : -57.69999313354492
X : -45.9299201965332, Y : -57.69993209838867
X : -45.80320739746094, Y : -57.699378967285156
X : -45.639442443847656, Y : -57.698486328125
X : -45.44833755493164, Y : -57.69736099243164
X : -45.22666549682617, Y : -57.69594192504883
X : -44.97825622558594, Y : -57.69582748413086
X : -44.714725494384766, Y : -57.69630432128906
X : -44.42196273803711, Y : -57.69684600830078
X : -44.11511993408203, Y : -57.69734573364258
X : -43.78116226196289, Y : -57.69691467285156
X : -43.43654251098633, Y : -57.6968994140625
X : -43.058837890625, Y : -57.69648742675781
X : -42.68595504760742, Y : -57.69582748413086
X : -42.31488800048828, Y : -57.69500732421875
X : -41.92910385131836, Y : -57.69407653808594
X : -41.528953552246094, Y : -57.692626953125
X : -41.12293243408203, Y : -57.69085693359375
X : -40.716697692871094, Y : -57.690399169921875
X : -40.28833770751953, Y : -57.68941879272461
X : -39.86751937866211, Y : -57.68887710571289
X : -39.448429107666016, Y : -57.68813705444336
X : -39.03274154663086, Y : -57.68709182739258
X : -38.60860824584961, Y : -57.68659591674805
X : -38.1531867980957, Y : -57.685882568359375
X : -37.73703384399414, Y : -57.68544006347656
X : -37.294044494628906, Y : -57.68484115600586
X : -36.85345458984375, Y : -57.6839599609375
X : -36.39706802368164, Y : -57.68293762207031
X : -35.94290542602539, Y : -57.682273864746094
X : -35.47101974487305, Y : -57.681575775146484
X : -34.98831558227539, Y : -57.6806640625
X : -34.50300598144531, Y : -57.67992401123047
X : -33.99211120605469, Y : -57.67909622192383
X : -33.48446273803711, Y : -57.678138732910156
X : -32.95177459716797, Y : -57.67710494995117
X : -32.42049789428711, Y : -57.67598342895508
X : -31.918270111083984, Y : -57.67488098144531
X : -31.325944900512695, Y : -57.673583984375
X : -30.79277801513672, Y : -57.67237091064453
X : -30.248258590698242, Y : -57.67100143432617
X : -29.663724899291992, Y : -57.669403076171875
X : -29.102108001708984, Y : -57.6678352355957
X : -28.523160934448242, Y : -57.66615676879883
X : -27.945695877075195, Y : -57.66436004638672
X : -27.363075256347656, Y : -57.66244888305664
X : -26.754398345947266, Y : -57.6603889465332
X : -26.121259689331055, Y : -57.658226013183594
X : -25.487638473510742, Y : -57.65601348876953
X : -24.8536376953125, Y : -57.653724670410156
X : -24.20484161376953, Y : -57.65128707885742
X : -23.59968376159668, Y : -57.64772033691406
X : -22.982824325561523, Y : -57.647186279296875
X : -22.413753509521484, Y : -57.64425277709961
X : -21.85345458984375, Y : -57.64065933227539
X : -21.28050994873047, Y : -57.63662338256836
X : -20.75372314453125, Y : -57.63197708129883
X : -20.217567443847656, Y : -57.627445220947266
X : -19.714841842651367, Y : -57.622371673583984
X : -19.226959228515625, Y : -57.61649703979492
X : -18.74921989440918, Y : -57.61079406738281
X : -18.272010803222656, Y : -57.60512924194336
X : -17.818838119506836, Y : -57.601078033447266
X : -17.3740234375, Y : -57.59715270996094
X : -16.941926956176758, Y : -57.59385299682617
X : -16.52869415283203, Y : -57.59088897705078
X : -16.141460418701172, Y : -57.58793640136719
X : -15.746600151062012, Y : -57.584964752197266
X : -15.349357604980469, Y : -57.58243942260742
X : -14.961247444152832, Y : -57.579959869384766
X : -14.573226928710938, Y : -57.57737731933594
X : -14.156882286071777, Y : -57.57461166381836
X : -13.773524284362793, Y : -57.57209396362305
X : -13.408077239990234, Y : -57.5697021484375
X : -13.040010452270508, Y : -57.56727600097656
X : -12.69865894317627, Y : -57.56495666503906
X : -12.367034912109375, Y : -57.56271743774414
X : -12.048686027526855, Y : -57.56111526489258
X : -11.745020866394043, Y : -57.55992889404297
X : -11.428982734680176, Y : -57.55873489379883
X : -11.115432739257812, Y : -57.55763244628906
X : -10.811066627502441, Y : -57.5566291809082
X : -10.511408805847168, Y : -57.55570602416992
X : -10.21865177154541, Y : -57.55488204956055
X : -9.935331344604492, Y : -57.554100036621094
X : -9.649541854858398, Y : -57.553279876708984
X : -9.36670970916748, Y : -57.55262756347656
X : -9.0913724899292, Y : -57.552005767822266
X : -8.827078819274902, Y : -57.551483154296875
X : -8.562492370605469, Y : -57.55094909667969
X : -8.307075500488281, Y : -57.55063247680664
X : -8.061476707458496, Y : -57.550350189208984
X : -7.824397563934326, Y : -57.550140380859375
X : -7.586269378662109, Y : -57.54997253417969
X : -7.3406853675842285, Y : -57.54978942871094
X : -7.072686672210693, Y : -57.54808807373047
X : -6.801806449890137, Y : -57.54705047607422
X : -6.521186351776123, Y : -57.545257568359375
X : -6.2243781089782715, Y : -57.543949127197266
X : -5.914515972137451, Y : -57.54195022583008
X : -5.583189010620117, Y : -57.54029083251953
X : -5.246489524841309, Y : -57.53810119628906
X : -4.911528587341309, Y : -57.535545349121094
X : -4.548005104064941, Y : -57.53339385986328
X : -4.189686298370361, Y : -57.53157043457031
X : -3.814244270324707, Y : -57.52916717529297
X : -3.4368343353271484, Y : -57.526912689208984
X : -3.047837734222412, Y : -57.52438735961914
X : -2.65059232711792, Y : -57.521907806396484
X : -2.2437944412231445, Y : -57.519500732421875
X : -1.8305339813232422, Y : -57.516883850097656
X : -1.4408007860183716, Y : -57.51435852050781
X : -1.0371328592300415, Y : -57.51183319091797
X : -0.656546950340271, Y : -57.50948715209961
X : -0.24001163244247437, Y : -57.50693130493164
X : 0.15831375122070312, Y : -57.504520416259766
