X : -46.0, Y : -57.69999694824219
X : -45.974456787109375, Y : -57.700077056884766
X : -45.86506652832031, Y : -57.70063400268555
X : -45.7169189453125, Y : -57.70132064819336
X : -45.52405548095703, Y : -57.7018928527832
X : -45.30683898925781, Y : -57.70232391357422
X : -45.06217575073242, Y : -57.7021369934082
X : -44.78095626831055, Y : -57.70159149169922
X : -44.48430252075195, Y : -57.70163345336914
X : -44.18063735961914, Y : -57.70090866088867
X : -43.849544525146484, Y : -57.69969177246094
X : -43.50811004638672, Y : -57.69818878173828
X : -43.14399719238281, Y : -57.6978759765625
X : -42.76728057861328, Y : -57.69701385498047
X : -42.37860107421875, Y : -57.696834564208984
X : -41.97077941894531, Y : -57.697322845458984
X : -41.57197189331055, Y : -57.696990966796875
X : -41.17213821411133, Y : -57.6962890625
X : -40.77701187133789, Y : -57.695438385009766
X : -40.3797607421875, Y : -57.69446563720703
X : -39.973289489746094, Y : -57.69306182861328
X : -39.57813262939453, Y : -57.69252395629883
X : -39.173362731933594, Y : -57.6917610168457
X : -38.774986267089844, Y : -57.69042205810547
X : -38.36813735961914, Y : -57.68879699707031
X : -37.940277099609375, Y : -57.687068939208984
X : -37.51487350463867, Y : -57.68526077270508
X : -37.0782585144043, Y : -57.68434524536133
X : -36.64203643798828, Y : -57.683372497558594
X : -36.19266891479492, Y : -57.682029724121094
X : -35.72855758666992, Y : -57.68130874633789
X : -35.27656555175781, Y : -57.68054962158203
X : -34.79993438720703, Y : -57.67935562133789
X : -34.319156646728516, Y : -57.67860412597656
X : -33.823638916015625, Y : -57.67829895019531
X : -33.309776306152344, Y : -57.67780685424805
X : -32.80801010131836, Y : -57.67702102661133
X : -32.303321838378906, Y : -57.67610549926758
X : -31.783647537231445, Y : -57.67521667480469
X : -31.26596450805664, Y : -57.67440414428711
X : -30.73597526550293, Y : -57.67356872558594
X : -30.20556640625, Y : -57.67266082763672
X : -29.680702209472656, Y : -57.67174530029297
X : -29.182523727416992, Y : -57.67086410522461
X : -28.66766357421875, Y : -57.66988754272461
X : -28.18863296508789, Y : -57.66887664794922
X : -27.720827102661133, Y : -57.66781234741211
X : -27.270803451538086, Y : -57.66668701171875
X : -26.81682586669922, Y : -57.665550231933594
X : -26.379562377929688, Y : -57.66445541381836
X : -25.965900421142578, Y : -57.66328048706055
X : -25.541364669799805, Y : -57.66204833984375
X : -25.154186248779297, Y : -57.66095733642578
X : -24.759979248046875, Y : -57.659812927246094
X : -24.366411209106445, Y : -57.65864562988281
X : -23.974910736083984, Y : -57.65748596191406
X : -23.605695724487305, Y : -57.65533447265625
X : -23.255859375, Y : -57.65594482421875
X : -22.905656814575195, Y : -57.65409851074219
X : -22.563520431518555, Y : -57.65209197998047
X : -22.220365524291992, Y : -57.65022659301758
X : -21.882917404174805, Y : -57.64838409423828
X : -21.550626754760742, Y : -57.646488189697266
X : -21.242815017700195, Y : -57.64472198486328
X : -20.92091178894043, Y : -57.64284896850586
X : -20.620901107788086, Y : -57.64041519165039
X : -20.32948112487793, Y : -57.64009475708008
X : -20.032501220703125, Y : -57.6380500793457
X : -19.744525909423828, Y : -57.635833740234375
X : -19.462078094482422, Y : -57.6338996887207
X : -19.174856185913086, Y : -57.63194274902344
X : -18.900279998779297, Y : -57.63002395629883
X : -18.628250122070312, Y : -57.62833786010742
X : -18.337657928466797, Y : -57.62662124633789
X : -18.069547653198242, Y : -57.62504577636719
X : -17.778650283813477, Y : -57.62337112426758
X : -17.476633071899414, Y : -57.6216926574707
X : -17.14974021911621, Y : -57.619895935058594
X : -16.827030181884766, Y : -57.61812210083008
X : -16.49350929260254, Y : -57.6163330078125
X : -16.153579711914062, Y : -57.61451721191406
X : -15.796100616455078, Y : -57.61259460449219
X : -15.430129051208496, Y : -57.61067581176758
X : -15.05504035949707, Y : -57.60873794555664
X : -14.676108360290527, Y : -57.60591506958008
X : -14.288326263427734, Y : -57.60372543334961
X : -13.904937744140625, Y : -57.60216522216797
X : -13.503748893737793, Y : -57.600746154785156
X : -13.1237154006958, Y : -57.5986213684082
X : -12.74498176574707, Y : -57.59653854370117
X : -12.340654373168945, Y : -57.59482192993164
X : -11.935416221618652, Y : -57.59327697753906
X : -11.52856159210205, Y : -57.59188461303711
X : -11.12144660949707, Y : -57.59061050415039
X : -10.701530456542969, Y : -57.58942413330078
X : -10.292994499206543, Y : -57.58839416503906
X : -9.872902870178223, Y : -57.58740234375
X : -9.44604778289795, Y : -57.584983825683594
X : -8.965093612670898, Y : -57.58251953125
X : -8.505477905273438, Y : -57.5807991027832
X : -8.059070587158203, Y : -57.57801055908203
X : -7.60724401473999, Y : -57.57534408569336
X : -7.157224655151367, Y : -57.57316589355469
X : -6.691373348236084, Y : -57.57107925415039
X : -6.20518684387207, Y : -57.56784439086914
X : -5.72310733795166, Y : -57.56476593017578
X : -5.237001419067383, Y : -57.56211853027344
X : -4.746917247772217, Y : -57.55959701538086
X : -4.23995304107666, Y : -57.55709457397461
X : -3.7543892860412598, Y : -57.55384826660156
X : -3.272582530975342, Y : -57.55061721801758
X : -2.7746994495391846, Y : -57.54766082763672
X : -2.2793960571289062, Y : -57.544925689697266
X : -1.805774211883545, Y : -57.54170227050781
X : -1.345744252204895, Y : -57.53848648071289
