X : -30.45262336730957, Y : -57.74193572998047
X : -29.85989761352539, Y : -57.746604919433594
X : -29.30510902404785, Y : -57.75116729736328
X : -28.703458786010742, Y : -57.75531005859375
X : -28.12468147277832, Y : -57.75912857055664
X : -27.506460189819336, Y : -57.75926208496094
X : -26.894819259643555, Y : -57.75291061401367
X : -26.245502471923828, Y : -57.7408447265625
X : -25.56243133544922, Y : -57.72285461425781
X : -24.790538787841797, Y : -57.70587921142578
X : -24.09899139404297, Y : -57.69340133666992
X : -23.33981704711914, Y : -57.67979049682617
X : -22.606130599975586, Y : -57.67271041870117
X : -21.889978408813477, Y : -57.667152404785156
X : -21.185819625854492, Y : -57.66566848754883
X : -20.500436782836914, Y : -57.660945892333984
X : -19.83806037902832, Y : -57.66194534301758
X : -19.231945037841797, Y : -57.66381072998047
X : -18.63007926940918, Y : -57.6617431640625
X : -18.059602737426758, Y : -57.65986251831055
X : -17.510461807250977, Y : -57.65574645996094
X : -16.958599090576172, Y : -57.6522216796875
X : -16.398296356201172, Y : -57.651493072509766
X : -15.87956714630127, Y : -57.652435302734375
X : -15.3428316116333, Y : -57.65435791015625
X : -14.837020874023438, Y : -57.652034759521484
X : -14.359296798706055, Y : -57.648250579833984
X : -13.88699722290039, Y : -57.64527893066406
X : -13.409685134887695, Y : -57.63985824584961
X : -12.951956748962402, Y : -57.632083892822266
X : -12.507555961608887, Y : -57.62567901611328
X : -12.009239196777344, Y : -57.62002944946289
X : -11.57654857635498, Y : -57.6160888671875
X : -11.123570442199707, Y : -57.6124153137207
X : -10.73727035522461, Y : -57.60931396484375
X : -10.33563232421875, Y : -57.60694885253906
X : -9.95274543762207, Y : -57.60515594482422
X : -9.565290451049805, Y : -57.601898193359375
X : -9.202139854431152, Y : -57.59796142578125
X : -8.835965156555176, Y : -57.59382629394531
X : -8.456221580505371, Y : -57.58956527709961
X : -8.121877670288086, Y : -57.58754348754883
X : -7.773350715637207, Y : -57.58641815185547
X : -7.43826961517334, Y : -57.58709716796875
X : -7.1231584548950195, Y : -57.58831024169922
X : -6.822546005249023, Y : -57.58927917480469
X : -6.523528099060059, Y : -57.587005615234375
X : -6.222200870513916, Y : -57.5831298828125
X : -5.9158244132995605, Y : -57.57758331298828
X : -5.612353324890137, Y : -57.57167434692383
X : -5.299807071685791, Y : -57.56593704223633
X : -4.9950032234191895, Y : -57.56465148925781
X : -4.691802978515625, Y : -57.565589904785156
X : -4.393420696258545, Y : -57.5723876953125
X : -4.113431453704834, Y : -57.5812873840332
X : -3.8398797512054443, Y : -57.58951187133789
X : -3.5557363033294678, Y : -57.59697723388672
X : -3.2724080085754395, Y : -57.59990692138672
X : -2.983731985092163, Y : -57.60055160522461
X : -2.708292245864868, Y : -57.60088348388672
