X : -46.0, Y : -57.69999694824219
X : -45.998226165771484, Y : -57.69999694824219
X : -45.92348098754883, Y : -57.7000732421875
X : -45.79045486450195, Y : -57.70016098022461
X : -45.62387466430664, Y : -57.700252532958984
X : -45.4404296875, Y : -57.70034408569336
X : -45.23406219482422, Y : -57.7004280090332
X : -45.01041793823242, Y : -57.70048522949219
X : -44.76997756958008, Y : -57.70054626464844
X : -44.51457977294922, Y : -57.700584411621094
X : -44.24148941040039, Y : -57.70063018798828
X : -43.95246505737305, Y : -57.70064163208008
X : -43.64773178100586, Y : -57.70066452026367
X : -43.32749938964844, Y : -57.700687408447266
X : -42.9920654296875, Y : -57.7006721496582
X : -42.64153289794922, Y : -57.70065689086914
X : -42.27597427368164, Y : -57.70060348510742
X : -41.90126037597656, Y : -57.7005615234375
X : -41.506614685058594, Y : -57.70054626464844
X : -41.10104751586914, Y : -57.70054244995117
X : -40.67890930175781, Y : -57.70054244995117
X : -40.24333953857422, Y : -57.70053482055664
X : -39.7980842590332, Y : -57.70052719116211
X : -39.34378433227539, Y : -57.700477600097656
X : -38.8693733215332, Y : -57.7004280090332
X : -38.38237762451172, Y : -57.70037841796875
X : -37.88300323486328, Y : -57.70033264160156
X : -37.37887954711914, Y : -57.700321197509766
X : -36.87411117553711, Y : -57.7003173828125
X : -36.36565017700195, Y : -57.70027160644531
X : -35.86594772338867, Y : -57.70022201538086
X : -35.354923248291016, Y : -57.700199127197266
X : -34.83951187133789, Y : -57.7001953125
X : -34.31922149658203, Y : -57.70015335083008
X : -33.78899002075195, Y : -57.70010757446289
X : -33.25016403198242, Y : -57.70009994506836
X : -32.70237350463867, Y : -57.70009994506836
X : -32.14547348022461, Y : -57.70128631591797
X : -31.579408645629883, Y : -57.70364761352539
X : -31.028600692749023, Y : -57.70631408691406
X : -30.459787368774414, Y : -57.70908737182617
X : -29.87293815612793, Y : -57.711360931396484
X : -29.290191650390625, Y : -57.71307373046875
X : -28.679487228393555, Y : -57.71457290649414
X : -28.06348419189453, Y : -57.71534729003906
X : -27.433971405029297, Y : -57.7154541015625
X : -26.796194076538086, Y : -57.714935302734375
X : -26.150033950805664, Y : -57.71400833129883
X : -25.495460510253906, Y : -57.71247863769531
X : -24.83249855041504, Y : -57.71047592163086
X : -24.161197662353516, Y : -57.70828628540039
X : -23.48235511779785, Y : -57.70355987548828
X : -22.795392990112305, Y : -57.70332336425781
X : -22.100677490234375, Y : -57.69881820678711
X : -21.401103973388672, Y : -57.69416427612305
X : -20.691192626953125, Y : -57.688934326171875
X : -19.97282600402832, Y : -57.68452835083008
X : -19.243724822998047, Y : -57.67890930175781
X : -18.514665603637695, Y : -57.672889709472656
X : -17.767532348632812, Y : -57.666561126708984
X : -17.012365341186523, Y : -57.66012191772461
X : -16.24932861328125, Y : -57.65352249145508
X : -15.504961013793945, Y : -57.64700698852539
X : -14.725847244262695, Y : -57.64009094238281
X : -13.947206497192383, Y : -57.63298797607422
X : -13.16172981262207, Y : -57.62562561035156
X : -12.380340576171875, Y : -57.61814498901367
X : -11.576285362243652, Y : -57.61033630371094
X : -10.761032104492188, Y : -57.60232162475586
X : -9.939005851745605, Y : -57.59390640258789
X : -9.110175132751465, Y : -57.585105895996094
X : -8.27571964263916, Y : -57.575862884521484
X : -7.4334025382995605, Y : -57.56620407104492
X : -6.584490776062012, Y : -57.55617141723633
X : -5.729062557220459, Y : -57.545833587646484
X : -4.887575149536133, Y : -57.53553771972656
X : -4.021395206451416, Y : -57.52503204345703
X : -3.1847362518310547, Y : -57.51506805419922
X : -2.3845720291137695, Y : -57.50572204589844
X : -1.5763288736343384, Y : -57.49651336669922
X : -0.8227612376213074, Y : -57.48820495605469
X : -0.05345825105905533, Y : -57.48001480102539
X : 0.6906147599220276, Y : -57.47261047363281
X : 1.3696242570877075, Y : -57.46636962890625
X : 2.04982328414917, Y : -57.46076583862305
X : 2.718184232711792, Y : -57.4557991027832
X : 3.3300349712371826, Y : -57.45166778564453
X : 3.958502769470215, Y : -57.44773864746094
X : 4.566205024719238, Y : -57.44428634643555
X : 5.151611804962158, Y : -57.441184997558594
X : 5.715249061584473, Y : -57.438232421875
X : 6.257564544677734, Y : -57.4356575012207
X : 6.778975009918213, Y : -57.43342590332031
X : 7.271365642547607, Y : -57.43125915527344
X : 7.766001224517822, Y : -57.42905807495117
X : 8.242328643798828, Y : -57.42732238769531
X : 8.705095291137695, Y : -57.4255256652832
X : 9.159845352172852, Y : -57.423973083496094
X : 9.59779167175293, Y : -57.42258834838867
X : 10.023022651672363, Y : -57.42121124267578
X : 10.4244384765625, Y : -57.42013931274414
X : 10.829943656921387, Y : -57.41917037963867
X : 11.229653358459473, Y : -57.41819763183594
X : 11.625673294067383, Y : -57.41722106933594
X : 12.019441604614258, Y : -57.416419982910156
X : 12.408662796020508, Y : -57.41571807861328
X : 12.800148963928223, Y : -57.41499710083008
X : 13.18229866027832, Y : -57.4144287109375
X : 13.573308944702148, Y : -57.413875579833984
X : 13.964350700378418, Y : -57.4133186340332
X : 14.339926719665527, Y : -57.412757873535156
X : 14.721549034118652, Y : -57.412322998046875
X : 15.112343788146973, Y : -57.41193389892578
X : 15.502333641052246, Y : -57.41154098510742
X : 15.891654968261719, Y : -57.41112518310547
X : 16.270044326782227, Y : -57.41080856323242
X : 16.653820037841797, Y : -57.41053009033203
X : 17.03252601623535, Y : -57.41026306152344
X : 17.420915603637695, Y : -57.40995407104492
X : 17.810665130615234, Y : -57.40970993041992
X : 18.185455322265625, Y : -57.40949249267578
X : 18.576190948486328, Y : -57.40927505493164
X : 18.96718406677246, Y : -57.40906524658203
X : 19.35634994506836, Y : -57.40890884399414
X : 19.7473087310791, Y : -57.40879440307617
X : 20.13791275024414, Y : -57.40863800048828
X : 20.512142181396484, Y : -57.40855407714844
X : 20.902286529541016, Y : -57.40848159790039
X : 21.292083740234375, Y : -57.408416748046875
X : 21.681671142578125, Y : -57.40835952758789
X : 22.07120132446289, Y : -57.40831756591797
X : 22.46086311340332, Y : -57.40830993652344
X : 22.84710121154785, Y : -57.408294677734375
X : 23.238849639892578, Y : -57.40824890136719
X : 23.640661239624023, Y : -57.40824508666992
X : 24.054786682128906, Y : -57.408241271972656
X : 24.49871063232422, Y : -57.40823745727539
X : 24.957876205444336, Y : -57.40822982788086
X : 25.4276123046875, Y : -57.40827560424805
X : 25.89689826965332, Y : -57.408329010009766
X : 26.377931594848633, Y : -57.40837097167969
X : 26.86126708984375, Y : -57.40846252441406
X : 27.34536361694336, Y : -57.40855407714844
X : 27.820701599121094, Y : -57.40864562988281
X : 28.3043212890625, Y : -57.40874481201172
X : 28.78702163696289, Y : -57.40888595581055
X : 29.255271911621094, Y : -57.40897750854492
X : 29.734853744506836, Y : -57.409114837646484
X : 30.19478988647461, Y : -57.40925598144531
X : 30.675548553466797, Y : -57.40939712524414
X : 31.156330108642578, Y : -57.40950393676758
X : 31.621713638305664, Y : -57.409603118896484
X : 32.080196380615234, Y : -57.40970230102539
X : 32.560401916503906, Y : -57.40984344482422
X : 33.028770446777344, Y : -57.40998840332031
X : 33.49472427368164, Y : -57.41012954711914
X : 33.96135330200195, Y : -57.41027069091797
X : 34.435707092285156, Y : -57.410438537597656
X : 34.90739440917969, Y : -57.41058349609375
X : 35.36685562133789, Y : -57.4107666015625
X : 35.83185577392578, Y : -57.41095733642578
X : 36.30030059814453, Y : -57.41115188598633
X : 36.77421188354492, Y : -57.41130065917969
X : 37.243770599365234, Y : -57.4114875793457
X : 37.69761657714844, Y : -57.41168212890625
X : 38.17160415649414, Y : -57.41187286376953
X : 38.632015228271484, Y : -57.41206741333008
X : 39.10446548461914, Y : -57.41225814819336
X : 39.58154296875, Y : -57.41245651245117
X : 40.05337142944336, Y : -57.41265106201172
X : 40.52802658081055, Y : -57.412841796875
X : 40.9993896484375, Y : -57.41303253173828
X : 41.47549057006836, Y : -57.413265228271484
X : 41.94646072387695, Y : -57.41350555419922
X : 42.40326690673828, Y : -57.41374206542969
X : 42.86539840698242, Y : -57.413944244384766
X : 43.32374572753906, Y : -57.41414260864258
X : 43.78761291503906, Y : -57.414344787597656
X : 44.24220275878906, Y : -57.4145393371582
X : 44.688289642333984, Y : -57.41473388671875
X : 45.16286087036133, Y : -57.41493606567383
X : 45.62604522705078, Y : -57.415130615234375
X : 46.099910736083984, Y : -57.41532516479492
X : 46.57594299316406, Y : -57.41551971435547
X : 47.04043960571289, Y : -57.41571807861328
X : 47.51203155517578, Y : -57.41591262817383
X : 47.97545623779297, Y : -57.416107177734375
X : 48.45665740966797, Y : -57.416297912597656
X : 48.91457748413086, Y : -57.4164924621582
X : 49.374046325683594, Y : -57.416717529296875
X : 49.84148025512695, Y : -57.41695785522461
X : 50.3031005859375, Y : -57.41715621948242
X : 50.767269134521484, Y : -57.4173583984375
X : 51.23688888549805, Y : -57.41755294799805
X : 51.67963409423828, Y : -57.41775131225586
X : 52.13539123535156, Y : -57.41794967651367
X : 52.60384750366211, Y : -57.41814422607422
X : 53.0701789855957, Y : -57.418338775634766
X : 53.529720306396484, Y : -57.41853332519531
X : 53.99391555786133, Y : -57.41873550415039
X : 54.45353698730469, Y : -57.418670654296875
X : 54.87954330444336, Y : -57.41848373413086
X : 55.35997009277344, Y : -57.41824722290039
X : 55.83590316772461, Y : -57.41802978515625
X : 56.30905532836914, Y : -57.417259216308594
X : 56.771766662597656, Y : -57.41619873046875
X : 57.19963836669922, Y : -57.41520690917969
X : 57.66301727294922, Y : -57.4136848449707
X : 58.11832809448242, Y : -57.41197967529297
X : 58.58328628540039, Y : -57.41023635864258
X : 59.038944244384766, Y : -57.40816116333008
X : 59.50415802001953, Y : -57.405853271484375
X : 59.958656311035156, Y : -57.40360641479492
X : 60.42399597167969, Y : -57.39870071411133
X : 60.893646240234375, Y : -57.39230728149414
X : 61.36264419555664, Y : -57.38581085205078
X : 61.82408142089844, Y : -57.37550735473633
X : 62.266326904296875, Y : -57.36362838745117
X : 62.72837448120117, Y : -57.35106658935547
X : 63.206321716308594, Y : -57.33417510986328
X : 63.68109893798828, Y : -57.3154182434082
X : 64.16014862060547, Y : -57.2964973449707
X : 64.6396484375, Y : -57.27231979370117
X : 65.10277557373047, Y : -57.246341705322266
X : 65.56394958496094, Y : -57.22040557861328
X : 66.0254898071289, Y : -57.18674087524414
X : 66.4939956665039, Y : -57.14757537841797
X : 66.97102355957031, Y : -57.10726547241211
X : 67.418701171875, Y : -57.06232833862305
X : 67.89700317382812, Y : -57.00958251953125
X : 68.36585998535156, Y : -56.95757293701172
X : 68.8169174194336, Y : -56.89919662475586
X : 69.25820922851562, Y : -56.83684539794922
X : 69.71393585205078, Y : -56.77193832397461
X : 70.16353607177734, Y : -56.69821548461914
X : 70.63479614257812, Y : -56.61420440673828
X : 71.08822631835938, Y : -56.5328254699707
X : 71.53772735595703, Y : -56.44281768798828
X : 71.9869384765625, Y : -56.346893310546875
X : 72.4583511352539, Y : -56.245697021484375
X : 72.91411590576172, Y : -56.1365852355957
X : 73.37999725341797, Y : -56.01723861694336
X : 73.82557678222656, Y : -55.902435302734375
X : 74.27824401855469, Y : -55.77493667602539
X : 74.71793365478516, Y : -55.644412994384766
X : 75.17726135253906, Y : -55.50754928588867
X : 75.63754272460938, Y : -55.37137985229492
X : 76.0885009765625, Y : -55.22551727294922
X : 76.54270935058594, Y : -55.06868362426758
X : 76.98833465576172, Y : -54.901546478271484
X : 77.42427062988281, Y : -54.731380462646484
X : 77.87152862548828, Y : -54.556575775146484
X : 78.31868743896484, Y : -54.38309860229492
X : 78.75985717773438, Y : -54.1983528137207
X : 79.19759368896484, Y : -54.00437545776367
X : 79.62699890136719, Y : -53.81288528442383
X : 80.05403900146484, Y : -53.609100341796875
X : 80.47640228271484, Y : -53.39839553833008
X : 80.89238739013672, Y : -53.19007110595703
X : 81.31568145751953, Y : -52.964134216308594
X : 81.72221374511719, Y : -52.73802185058594
X : 82.13982391357422, Y : -52.504920959472656
X : 82.5368423461914, Y : -52.26980972290039
X : 82.9435806274414, Y : -52.01926040649414
X : 83.3402099609375, Y : -51.77410888671875
X : 83.74343872070312, Y : -51.511356353759766
X : 84.14344787597656, Y : -51.2420654296875
X : 84.53556823730469, Y : -50.97761917114258
X : 84.9245376586914, Y : -50.702552795410156
X : 85.31270599365234, Y : -50.41972732543945
X : 85.69908905029297, Y : -50.137699127197266
X : 86.07609558105469, Y : -49.84632110595703
X : 86.44612884521484, Y : -49.548519134521484
X : 86.81928253173828, Y : -49.24703598022461
X : 87.18495178222656, Y : -48.93510055541992
X : 87.54545593261719, Y : -48.616268157958984
X : 87.9059066772461, Y : -48.2966194152832
X : 88.25920867919922, Y : -47.97037887573242
X : 88.6077880859375, Y : -47.64100646972656
X : 88.95537567138672, Y : -47.31248474121094
X : 89.29273986816406, Y : -46.97592544555664
X : 89.62376403808594, Y : -46.63258743286133
X : 89.95623016357422, Y : -46.28641891479492
X : 90.28083801269531, Y : -45.93146896362305
X : 90.60041809082031, Y : -45.57115173339844
X : 90.91988372802734, Y : -45.21029281616211
X : 91.22957611083984, Y : -44.84253692626953
X : 91.5328598022461, Y : -44.47081756591797
X : 91.83507537841797, Y : -44.09914779663086
X : 92.12672424316406, Y : -43.72063446044922
X : 92.41219329833984, Y : -43.33635330200195
X : 92.69820404052734, Y : -42.95020294189453
X : 92.97333526611328, Y : -42.556114196777344
X : 93.240478515625, Y : -42.156864166259766
X : 93.50360107421875, Y : -41.762001037597656
X : 93.76094818115234, Y : -41.357913970947266
X : 94.01348114013672, Y : -40.9509162902832
X : 94.26615142822266, Y : -40.54357147216797
X : 94.50799560546875, Y : -40.1302490234375
X : 94.7428970336914, Y : -39.711875915527344
X : 94.9779052734375, Y : -39.29178237915039
X : 95.20201873779297, Y : -38.8658447265625
X : 95.4186782836914, Y : -38.436588287353516
X : 95.63455963134766, Y : -38.00751495361328
X : 95.8402099609375, Y : -37.575008392333984
X : 96.03987121582031, Y : -37.14025115966797
X : 96.23929595947266, Y : -36.70536422729492
X : 96.42582702636719, Y : -36.265743255615234
X : 96.60338592529297, Y : -35.82135009765625
X : 96.7806625366211, Y : -35.374759674072266
X : 96.95958709716797, Y : -34.92707061767578
X : 97.12649536132812, Y : -34.47507858276367
X : 97.28387451171875, Y : -34.02056884765625
X : 97.43994140625, Y : -33.566429138183594
X : 97.58287048339844, Y : -33.109615325927734
X : 97.71714782714844, Y : -32.649349212646484
X : 97.85115051269531, Y : -32.186946868896484
X : 97.9764404296875, Y : -31.72098159790039
X : 98.09693908691406, Y : -31.252620697021484
X : 98.204833984375, Y : -30.78166389465332
X : 98.3052749633789, Y : -30.30983543395996
X : 98.4051742553711, Y : -29.838722229003906
X : 98.49439239501953, Y : -29.366945266723633
X : 98.57733154296875, Y : -28.894020080566406
X : 98.66014099121094, Y : -28.42037010192871
X : 98.73490142822266, Y : -27.945043563842773
X : 98.80536651611328, Y : -27.46799087524414
X : 98.8656234741211, Y : -26.98925018310547
X : 98.92044067382812, Y : -26.50990867614746
X : 98.97513580322266, Y : -26.030845642089844
X : 99.0215835571289, Y : -25.551774978637695
X : 99.06344604492188, Y : -25.072509765625
X : 99.10529327392578, Y : -24.593141555786133
X : 99.14016723632812, Y : -24.113319396972656
X : 99.17142486572266, Y : -23.63264274597168
X : 99.20277404785156, Y : -23.151187896728516
X : 99.22827911376953, Y : -22.669139862060547
X : 99.2507095336914, Y : -22.187137603759766
X : 99.273193359375, Y : -21.705547332763672
X : 99.29133605957031, Y : -21.22420310974121
X : 99.30734252929688, Y : -20.742544174194336
X : 99.32345581054688, Y : -20.2603759765625
X : 99.33622741699219, Y : -19.776304244995117
X : 99.3475341796875, Y : -19.284631729125977
X : 99.35916900634766, Y : -18.78227424621582
X : 99.36881256103516, Y : -18.27808380126953
X : 99.37716674804688, Y : -17.77455711364746
X : 99.38533782958984, Y : -17.265134811401367
X : 99.39195251464844, Y : -16.754310607910156
X : 99.39725494384766, Y : -16.24238395690918
X : 99.40225982666016, Y : -15.72568416595459
X : 99.40614318847656, Y : -15.202075004577637
X : 99.40911102294922, Y : -14.670371055603027
X : 99.41111755371094, Y : -14.129958152770996
X : 99.41254425048828, Y : -13.580528259277344
X : 99.41388702392578, Y : -13.021960258483887
X : 99.41463470458984, Y : -12.454221725463867
X : 99.4148941040039, Y : -11.877331733703613
X : 99.41437530517578, Y : -11.291337966918945
X : 99.41324615478516, Y : -10.696301460266113
X : 99.4114761352539, Y : -10.092293739318848
X : 99.40926361083984, Y : -9.479385375976562
X : 99.40650177001953, Y : -8.857659339904785
X : 99.40335083007812, Y : -8.22718620300293
X : 99.3997573852539, Y : -7.58804988861084
X : 99.39582061767578, Y : -6.940323352813721
X : 99.39031219482422, Y : -6.285902976989746
X : 99.38337707519531, Y : -5.635899543762207
X : 99.37196350097656, Y : -4.999335289001465
X : 99.35665893554688, Y : -4.380340099334717
X : 99.3399658203125, Y : -3.780715227127075
X : 99.31830596923828, Y : -3.201535940170288
X : 99.2926025390625, Y : -2.642879009246826
X : 99.26210021972656, Y : -2.104750871658325
X : 99.2287368774414, Y : -1.5866706371307373
X : 99.19514465332031, Y : -1.0857094526290894
X : 99.15082550048828, Y : -0.5925279855728149
X : 99.10028839111328, Y : -0.1113252267241478
X : 99.05045318603516, Y : 0.35537394881248474
X : 98.98941040039062, Y : 0.8040741682052612
X : 98.92118835449219, Y : 1.2361958026885986
X : 98.85423278808594, Y : 1.6548566818237305
X : 98.78990936279297, Y : 2.0629096031188965
X : 98.71208953857422, Y : 2.4584860801696777
X : 98.62158203125, Y : 2.8444666862487793
X : 98.53011322021484, Y : 3.226854085922241
X : 98.42230987548828, Y : 3.59958553314209
X : 98.29908752441406, Y : 3.963409662246704
X : 98.17398834228516, Y : 4.325437068939209
X : 98.05009460449219, Y : 4.687086582183838
X : 97.90950775146484, Y : 5.038363933563232
X : 97.74736022949219, Y : 5.377824783325195
X : 97.579833984375, Y : 5.717765808105469
X : 97.41170501708984, Y : 6.060544490814209
X : 97.22632598876953, Y : 6.391958713531494
X : 97.01748657226562, Y : 6.709115982055664
X : 96.79470825195312, Y : 7.0363383293151855
X : 96.55845642089844, Y : 7.384084701538086
X : 96.29273986816406, Y : 7.732458114624023
X : 95.99445343017578, Y : 8.071892738342285
X : 95.6803970336914, Y : 8.416419982910156
X : 95.34416961669922, Y : 8.74584674835205
X : 94.98835754394531, Y : 9.059563636779785
X : 94.62451171875, Y : 9.371840476989746
X : 94.24662017822266, Y : 9.665557861328125
X : 93.85700988769531, Y : 9.944485664367676
X : 93.46340942382812, Y : 10.221640586853027
X : 93.05928802490234, Y : 10.478336334228516
X : 92.64523315429688, Y : 10.716303825378418
X : 92.22779846191406, Y : 10.951032638549805
X : 91.80211639404297, Y : 11.164737701416016
X : 91.36813354492188, Y : 11.360477447509766
X : 90.93045043945312, Y : 11.553590774536133
X : 90.48580169677734, Y : 11.726435661315918
X : 90.03416442871094, Y : 11.882570266723633
