X : -31.0, Y : -57.69999694824219
X : -30.984926223754883, Y : -57.70017623901367
X : -30.861318588256836, Y : -57.70181655883789
X : -30.657114028930664, Y : -57.70441436767578
X : -30.399005889892578, Y : -57.70710754394531
X : -30.095041275024414, Y : -57.709930419921875
X : -29.75250816345215, Y : -57.71255874633789
X : -29.377689361572266, Y : -57.71514129638672
X : -28.98271942138672, Y : -57.71680450439453
X : -28.562782287597656, Y : -57.71757507324219
X : -28.142608642578125, Y : -57.71808624267578
X : -27.69664192199707, Y : -57.71825408935547
X : -27.236522674560547, Y : -57.717952728271484
X : -26.761484146118164, Y : -57.71726608276367
X : -26.271474838256836, Y : -57.71630859375
X : -25.779605865478516, Y : -57.71507263183594
X : -25.278409957885742, Y : -57.7137336730957
X : -24.790912628173828, Y : -57.71261978149414
X : -24.291479110717773, Y : -57.71125411987305
X : -23.795780181884766, Y : -57.70921325683594
X : -23.30536651611328, Y : -57.70719909667969
X : -22.818422317504883, Y : -57.7041015625
X : -22.32189178466797, Y : -57.70060729980469
X : -21.81926155090332, Y : -57.69757843017578
X : -21.318891525268555, Y : -57.69432830810547
X : -20.819787979125977, Y : -57.69100570678711
X : -20.321632385253906, Y : -57.687713623046875
X : -19.824398040771484, Y : -57.68416976928711
X : -19.330358505249023, Y : -57.68012237548828
X : -18.84303855895996, Y : -57.676185607910156
X : -18.344684600830078, Y : -57.6721076965332
X : -17.84649085998535, Y : -57.66813278198242
X : -17.347084045410156, Y : -57.663944244384766
X : -16.84769630432129, Y : -57.659584045410156
X : -16.35395622253418, Y : -57.655277252197266
X : -15.867855072021484, Y : -57.651004791259766
X : -15.376557350158691, Y : -57.6465950012207
X : -14.885480880737305, Y : -57.642147064208984
X : -14.391777992248535, Y : -57.63761520385742
X : -13.894596099853516, Y : -57.633026123046875
X : -13.392763137817383, Y : -57.62828826904297
X : -12.892889976501465, Y : -57.623470306396484
X : -12.40383529663086, Y : -57.6187744140625
X : -11.905109405517578, Y : -57.61389923095703
X : -11.407962799072266, Y : -57.60901641845703
X : -10.914297103881836, Y : -57.60414505004883
X : -10.418344497680664, Y : -57.59921646118164
X : -9.920661926269531, Y : -57.59428024291992
X : -9.420355796813965, Y : -57.589237213134766
X : -8.919748306274414, Y : -57.58404541015625
X : -8.42054557800293, Y : -57.578369140625
X : -7.9446587562561035, Y : -57.57294464111328
X : -7.464242458343506, Y : -57.56736373901367
X : -6.978024005889893, Y : -57.561561584472656
X : -6.502877235412598, Y : -57.5557861328125
X : -6.010690212249756, Y : -57.54978942871094
X : -5.518675327301025, Y : -57.54374313354492
X : -5.0192036628723145, Y : -57.53750228881836
X : -4.518214225769043, Y : -57.53118896484375
X : -4.018978118896484, Y : -57.52478790283203
X : -3.5203166007995605, Y : -57.51874923706055
X : -3.02163028717041, Y : -57.51290512084961
X : -2.5247764587402344, Y : -57.507118225097656
X : -2.029735565185547, Y : -57.50141525268555
X : -1.5347927808761597, Y : -57.49580764770508
X : -1.0383670330047607, Y : -57.49024200439453
X : -0.5419501662254333, Y : -57.4847412109375
X : -0.04245998337864876, Y : -57.479217529296875
X : 0.4561431407928467, Y : -57.47367858886719
X : 0.9527924060821533, Y : -57.468265533447266
X : 1.4405485391616821, Y : -57.46381759643555
X : 1.933491587638855, Y : -57.45992660522461
X : 2.4280405044555664, Y : -57.45613098144531
X : 2.925609588623047, Y : -57.45243453979492
X : 3.40924072265625, Y : -57.44913864135742
X : 3.909151554107666, Y : -57.44590759277344
X : 4.404481410980225, Y : -57.44289779663086
X : 4.899033069610596, Y : -57.44009780883789
X : 5.3847479820251465, Y : -57.43735885620117
X : 5.877483367919922, Y : -57.43463134765625
X : 6.371252536773682, Y : -57.43201446533203
X : 6.865564346313477, Y : -57.42972946166992
X : 7.362067699432373, Y : -57.42778015136719
X : 7.860544681549072, Y : -57.42599868774414
X : 8.360980033874512, Y : -57.424072265625
X : 8.860830307006836, Y : -57.42247009277344
X : 9.359955787658691, Y : -57.42097473144531
X : 9.846022605895996, Y : -57.41965866088867
X : 10.342373847961426, Y : -57.418373107910156
X : 10.825698852539062, Y : -57.41716766357422
X : 11.298054695129395, Y : -57.41607666015625
X : 11.790247917175293, Y : -57.41511917114258
X : 12.264480590820312, Y : -57.414363861083984
X : 12.764755249023438, Y : -57.41349411010742
X : 13.264151573181152, Y : -57.41289520263672
X : 13.734367370605469, Y : -57.41228485107422
X : 14.22006893157959, Y : -57.41173553466797
X : 14.713485717773438, Y : -57.41126251220703
X : 15.180298805236816, Y : -57.41083526611328
