X : -31.0, Y : -57.69999694824219
X : -30.99862289428711, Y : -57.70000457763672
X : -30.95395851135254, Y : -57.700477600097656
X : -30.852907180786133, Y : -57.70148468017578
X : -30.714019775390625, Y : -57.70280456542969
X : -30.524654388427734, Y : -57.704593658447266
X : -30.338275909423828, Y : -57.70207977294922
X : -30.11333465576172, Y : -57.69675827026367
X : -29.872459411621094, Y : -57.69089126586914
X : -29.625072479248047, Y : -57.68504333496094
X : -29.34214973449707, Y : -57.67855453491211
X : -29.039596557617188, Y : -57.67177200317383
X : -28.722660064697266, Y : -57.667781829833984
X : -28.416954040527344, Y : -57.66560745239258
X : -28.08341407775879, Y : -57.66360855102539
X : -27.754467010498047, Y : -57.66165542602539
X : -27.423221588134766, Y : -57.66265106201172
X : -27.094982147216797, Y : -57.66559600830078
X : -26.746755599975586, Y : -57.66914367675781
X : -26.390600204467773, Y : -57.67006301879883
X : -26.043745040893555, Y : -57.669071197509766
X : -25.69532585144043, Y : -57.66755676269531
X : -25.34368896484375, Y : -57.66340637207031
X : -25.34368896484375, Y : -57.65761947631836
X : -24.996349334716797, Y : -57.65761947631836
X : -24.646991729736328, Y : -57.65142822265625
X : -24.297780990600586, Y : -57.64870834350586
X : -23.95551300048828, Y : -57.648475646972656
X : -23.599428176879883, Y : -57.64751434326172
X : -23.243425369262695, Y : -57.649837493896484
X : -22.865758895874023, Y : -57.653743743896484
X : -22.475656509399414, Y : -57.66079330444336
X : -22.064510345458984, Y : -57.67020797729492
X : -21.63984489440918, Y : -57.678714752197266
X : -21.22249984741211, Y : -57.685340881347656
X : -20.819034576416016, Y : -57.69075012207031
X : -20.405879974365234, Y : -57.69313049316406
X : -19.980140686035156, Y : -57.69715118408203
X : -19.567562103271484, Y : -57.697811126708984
X : -19.157419204711914, Y : -57.69670104980469
X : -18.74024200439453, Y : -57.69413375854492
X : -18.356712341308594, Y : -57.69137191772461
X : -17.9810791015625, Y : -57.68798065185547
X : -17.606164932250977, Y : -57.68468475341797
X : -17.23094367980957, Y : -57.68099594116211
