X : -31.0, Y : -57.69999694824219
X : -30.99997901916504, Y : -57.69999694824219
X : -30.94634437561035, Y : -57.7004280090332
X : -30.81839942932129, Y : -57.701698303222656
X : -30.623952865600586, Y : -57.70359802246094
X : -30.372089385986328, Y : -57.70594787597656
X : -30.104082107543945, Y : -57.701663970947266
X : -29.82320213317871, Y : -57.69438934326172
X : -29.50098991394043, Y : -57.68606948852539
X : -29.14790916442871, Y : -57.67722702026367
X : -28.77423095703125, Y : -57.66822814941406
X : -28.39080810546875, Y : -57.663543701171875
X : -27.9937744140625, Y : -57.661258697509766
X : -27.582597732543945, Y : -57.65930938720703
X : -27.14242935180664, Y : -57.661991119384766
X : -26.707969665527344, Y : -57.6671028137207
X : -26.310077667236328, Y : -57.66854476928711
X : -25.89444351196289, Y : -57.66750717163086
X : -25.46544647216797, Y : -57.665771484375
X : -25.045772552490234, Y : -57.66034698486328
X : -24.620946884155273, Y : -57.652645111083984
X : -24.17945098876953, Y : -57.64935302734375
X : -23.746517181396484, Y : -57.64886474609375
X : -23.308013916015625, Y : -57.65031433105469
X : -22.83243751525879, Y : -57.65691375732422
X : -22.32127571105957, Y : -57.66755294799805
X : -21.821924209594727, Y : -57.67957305908203
X : -21.312652587890625, Y : -57.68912124633789
X : -20.81532859802246, Y : -57.69598388671875
X : -20.289987564086914, Y : -57.69965744018555
X : -19.78354263305664, Y : -57.701141357421875
X : -19.256189346313477, Y : -57.69892501831055
X : -18.75025749206543, Y : -57.695194244384766
X : -18.278650283813477, Y : -57.69122314453125
X : -17.794506072998047, Y : -57.686790466308594
X : -17.293712615966797, Y : -57.68199157714844
X : -16.804380416870117, Y : -57.67729187011719
X : -16.346050262451172, Y : -57.67097473144531
X : -15.888786315917969, Y : -57.662899017333984
X : -15.42192554473877, Y : -57.65510177612305
X : -14.9549560546875, Y : -57.64813232421875
X : -14.479705810546875, Y : -57.64160919189453
X : -14.042564392089844, Y : -57.64008712768555
X : -13.59907054901123, Y : -57.64140319824219
X : -13.188821792602539, Y : -57.641326904296875
X : -12.747063636779785, Y : -57.639862060546875
X : -12.324543952941895, Y : -57.6380500793457
X : -11.877974510192871, Y : -57.629119873046875
X : -11.448216438293457, Y : -57.61617660522461
X : -10.998680114746094, Y : -57.60092544555664
X : -10.531184196472168, Y : -57.58241271972656
X : -10.009099960327148, Y : -57.5595588684082
X : -9.547720909118652, Y : -57.541629791259766
X : -9.047685623168945, Y : -57.52503967285156
X : -8.562963485717773, Y : -57.5103759765625
