X : 53.96730422973633, Y : -57.42061233520508
X : 54.5208625793457, Y : -57.42059326171875
X : 55.17696762084961, Y : -57.42071533203125
X : 55.83464050292969, Y : -57.420867919921875
X : 56.35094451904297, Y : -57.42107391357422
X : 57.00847625732422, Y : -57.42108917236328
X : 57.63754653930664, Y : -57.42139434814453
X : 58.28163528442383, Y : -57.42160415649414
X : 58.91650390625, Y : -57.41471481323242
X : 59.556800842285156, Y : -57.41193771362305
X : 60.1826286315918, Y : -57.408485412597656
X : 60.84314727783203, Y : -57.404422760009766
X : 61.47989273071289, Y : -57.40062713623047
X : 62.142181396484375, Y : -57.39617919921875
X : 62.79543685913086, Y : -57.39131546020508
X : 63.43192672729492, Y : -57.38063049316406
X : 63.9373664855957, Y : -57.35374069213867
X : 64.5794677734375, Y : -57.32197570800781
X : 65.24268341064453, Y : -57.28540802001953
X : 65.76170349121094, Y : -57.253684997558594
X : 66.41087341308594, Y : -57.21253967285156
X : 67.03364562988281, Y : -57.17081832885742
X : 67.68603515625, Y : -57.12530517578125
X : 68.3138427734375, Y : -57.060325622558594
X : 68.81560516357422, Y : -56.98936080932617
X : 69.4239273071289, Y : -56.90346908569336
X : 70.04566192626953, Y : -56.807762145996094
X : 70.69188690185547, Y : -56.70261001586914
X : 71.30339813232422, Y : -56.59968948364258
X : 71.91749572753906, Y : -56.49226379394531
X : 72.54630279541016, Y : -56.36739730834961
X : 73.15699768066406, Y : -56.210296630859375
X : 73.76708984375, Y : -56.050537109375
X : 74.26336669921875, Y : -55.91341018676758
X : 74.74555969238281, Y : -55.77599334716797
X : 75.24370574951172, Y : -55.63106155395508
X : 75.8514175415039, Y : -55.44913864135742
X : 76.33378601074219, Y : -55.30027770996094
X : 76.93972778320312, Y : -55.07796096801758
X : 77.52963256835938, Y : -54.843353271484375
X : 78.1064224243164, Y : -54.60918426513672
X : 78.69798278808594, Y : -54.35834884643555
X : 79.24706268310547, Y : -54.12029266357422
X : 79.82730102539062, Y : -53.8629150390625
X : 80.42086791992188, Y : -53.594017028808594
X : 80.99098205566406, Y : -53.29708480834961
X : 81.40815734863281, Y : -52.99247360229492
X : 81.96063995361328, Y : -52.75456237792969
X : 82.39763641357422, Y : -52.50143814086914
X : 82.8214340209961, Y : -52.17031478881836
X : 83.37179565429688, Y : -51.920745849609375
X : 83.79061126708984, Y : -51.580814361572266
X : 84.33293914794922, Y : -51.31534957885742
X : 84.71644592285156, Y : -50.94468688964844
X : 85.22346496582031, Y : -50.66503143310547
X : 85.7464370727539, Y : -50.27075958251953
X : 86.27118682861328, Y : -49.864627838134766
X : 86.66741180419922, Y : -49.55305099487305
X : 87.18193817138672, Y : -49.14247131347656
X : 87.6727066040039, Y : -48.730995178222656
X : 88.00657653808594, Y : -48.30655288696289
X : 88.49514770507812, Y : -47.954071044921875
X : 88.84784698486328, Y : -47.51094436645508
X : 89.31147003173828, Y : -47.15216827392578
X : 89.66368865966797, Y : -46.79640579223633
X : 90.11122131347656, Y : -46.33903884887695
X : 90.5362548828125, Y : -45.891727447509766
X : 90.94459533691406, Y : -45.40607452392578
X : 91.3687744140625, Y : -44.888153076171875
X : 91.68437194824219, Y : -44.49628448486328
X : 92.00120544433594, Y : -44.09298324584961
X : 92.31006622314453, Y : -43.69373321533203
X : 92.68460845947266, Y : -43.202476501464844
X : 93.07076263427734, Y : -42.68721008300781
X : 93.3565444946289, Y : -42.17182159423828
X : 93.69752502441406, Y : -41.7619514465332
X : 94.0364990234375, Y : -41.21660614013672
X : 94.37571716308594, Y : -40.65754699707031
X : 94.63294982910156, Y : -40.2208251953125
X : 94.88439178466797, Y : -39.78754425048828
X : 95.20638275146484, Y : -39.22407531738281
X : 95.51996612548828, Y : -38.65381622314453
X : 95.800048828125, Y : -38.06369400024414
X : 96.0187759399414, Y : -37.58598709106445
X : 96.2347183227539, Y : -37.10819625854492
X : 96.4925765991211, Y : -36.512935638427734
X : 96.69368743896484, Y : -36.0363883972168
X : 96.88780212402344, Y : -35.5684700012207
X : 97.1251220703125, Y : -34.98421096801758
X : 97.34342193603516, Y : -34.37811279296875
X : 97.49337768554688, Y : -33.89826202392578
X : 97.68605041503906, Y : -33.27774429321289
