X : -30.67288589477539, Y : -57.67636489868164
X : -30.194759368896484, Y : -57.67335891723633
X : -29.70732879638672, Y : -57.669281005859375
X : -29.213457107543945, Y : -57.6632080078125
X : -28.701025009155273, Y : -57.654300689697266
X : -28.162538528442383, Y : -57.64144515991211
X : -27.619712829589844, Y : -57.62543487548828
X : -27.04395294189453, Y : -57.61277770996094
X : -26.506010055541992, Y : -57.60335922241211
X : -25.959529876708984, Y : -57.5961799621582
X : -25.41869354248047, Y : -57.59052276611328
X : -24.84241485595703, Y : -57.58586120605469
X : -24.292465209960938, Y : -57.58366394042969
X : -23.692699432373047, Y : -57.581321716308594
X : -23.085128784179688, Y : -57.582698822021484
X : -22.494159698486328, Y : -57.58631896972656
X : -21.916698455810547, Y : -57.59077072143555
X : -21.321014404296875, Y : -57.596923828125
X : -20.740192413330078, Y : -57.603885650634766
X : -20.14539909362793, Y : -57.60789489746094
X : -19.536909103393555, Y : -57.61131286621094
X : -18.97116470336914, Y : -57.61552429199219
X : -18.430126190185547, Y : -57.62055206298828
X : -17.890592575073242, Y : -57.62211227416992
X : -17.330177307128906, Y : -57.62440490722656
X : -16.821123123168945, Y : -57.62479019165039
X : -16.290388107299805, Y : -57.625301361083984
X : -15.811121940612793, Y : -57.6240119934082
X : -15.324158668518066, Y : -57.62007141113281
X : -14.841038703918457, Y : -57.615989685058594
X : -14.360235214233398, Y : -57.611228942871094
X : -13.882771492004395, Y : -57.60552215576172
X : -13.451818466186523, Y : -57.599124908447266
X : -12.989790916442871, Y : -57.59212875366211
X : -12.525031089782715, Y : -57.58638000488281
X : -12.09719181060791, Y : -57.5822639465332
X : -11.669876098632812, Y : -57.57771682739258
X : -11.242979049682617, Y : -57.57365417480469
X : -10.855368614196777, Y : -57.56959915161133
X : -10.456751823425293, Y : -57.564735412597656
X : -10.068588256835938, Y : -57.5607795715332
X : -9.701468467712402, Y : -57.55785369873047
X : -9.344592094421387, Y : -57.55442428588867
X : -8.990716934204102, Y : -57.550018310546875
X : -8.65714168548584, Y : -57.54528045654297
X : -8.304869651794434, Y : -57.54050064086914
X : -7.970399379730225, Y : -57.53584671020508
X : -7.647426605224609, Y : -57.532630920410156
