X: -30.176931381225586, Y: -57.62171936035156
X: -28.777090072631836, Y: -57.61732482910156
X: -28.052780151367188, Y: -57.61482620239258
X: -27.311586380004883, Y: -57.61215591430664
X: -25.792144775390625, Y: -57.6064453125
X: -25.021753311157227, Y: -57.60331344604492
X: -24.246118545532227, Y: -57.60017395019531
X: -23.46405792236328, Y: -57.59478759765625
X: -21.893922805786133, Y: -57.59053039550781
X: -20.356597900390625, Y: -57.58605194091797
X: -19.593809127807617, Y: -57.58739471435547
X: -18.108388900756836, Y: -57.58364486694336
X: -17.396400451660156, Y: -57.58135986328125
X: -16.70657730102539, Y: -57.57895278930664
X: -15.388628959655762, Y: -57.574119567871094
X: -14.757622718811035, Y: -57.571678161621094
X: -13.54904842376709, Y: -57.56687545776367
X: -12.414565086364746, Y: -57.56313705444336
X: -11.876954078674316, Y: -57.5617561340332
X: -11.358861923217773, Y: -57.55950927734375
X: -10.35976791381836, Y: -57.55537414550781
X: -9.869733810424805, Y: -57.55342102050781
X: -9.390791893005371, Y: -57.55152130126953
X: -8.474160194396973, Y: -57.547752380371094
X: -8.037601470947266, Y: -57.5467414855957
X: -7.199446678161621, Y: -57.545692443847656
X: -6.793128490447998, Y: -57.54563903808594
X: -6.003661155700684, Y: -57.54545593261719
X: -5.253666877746582, Y: -57.54521179199219
X: -5.253666877746582, Y: -57.54521179199219
X: -4.53883171081543, Y: -57.5408935546875
X: -4.18925666809082, Y: -57.53997802734375
X: -3.5091326236724854, Y: -57.53929138183594
X: -3.1769859790802, Y: -57.5391845703125
X: -2.85092830657959, Y: -57.53902053833008
X: -2.2249138355255127, Y: -57.53866195678711
X: -1.9262902736663818, Y: -57.53852081298828
X: -1.6366207599639893, Y: -57.53835678100586
X: -1.079115867614746, Y: -57.53807067871094
X: -0.8072795867919922, Y: -57.536033630371094
X: -0.2516005337238312, Y: -57.53463363647461
X: 0.02304435707628727, Y: -57.53433609008789
X: 0.5891953110694885, Y: -57.5333251953125
X: 0.891799807548523, Y: -57.532684326171875
X: 1.5455965995788574, Y: -57.53129577636719
X: 1.8974759578704834, Y: -57.53057098388672
X: 2.6479737758636475, Y: -57.52923583984375
X: 3.0455448627471924, Y: -57.52861785888672
X: 3.888845682144165, Y: -57.52738571166992
X: 4.794863224029541, Y: -57.52067184448242
X: 5.268620491027832, Y: -57.51755905151367
X: 6.257252216339111, Y: -57.51234817504883
X: 7.269569396972656, Y: -57.507205963134766
X: 7.771604061126709, Y: -57.50469970703125
X: 8.785219192504883, Y: -57.499691009521484
X: 9.305001258850098, Y: -57.497127532958984
X: 10.37855052947998, Y: -57.4918212890625
X: 10.932059288024902, Y: -57.48908233642578
X: 12.07115650177002, Y: -57.483489990234375
X: 12.656468391418457, Y: -57.48062515258789
X: 13.85842514038086, Y: -57.474735260009766
X: 14.476202964782715, Y: -57.471702575683594
X: 15.741656303405762, Y: -57.46549606323242
X: 17.044309616088867, Y: -57.45914077758789
