X: -30.340063095092773, Y: -57.50539779663086
X: -29.656044006347656, Y: -57.49464416503906
X: -28.253829956054688, Y: -57.47245788574219
X: -27.52861785888672, Y: -57.46075439453125
X: -26.786983489990234, Y: -57.44868087768555
X: -25.270448684692383, Y: -57.42362594604492
X: -24.502471923828125, Y: -57.41094207763672
X: -22.943328857421875, Y: -57.38386154174805
X: -22.148162841796875, Y: -57.36959457397461
X: -21.34309196472168, Y: -57.355350494384766
X: -19.749956130981445, Y: -57.32669448852539
X: -18.228986740112305, Y: -57.29655456542969
X: -17.504236221313477, Y: -57.281551361083984
X: -16.12601661682129, Y: -57.252620697021484
X: -15.469043731689453, Y: -57.238616943359375
X: -14.21151351928711, Y: -57.21156692504883
X: -13.61029052734375, Y: -57.19853973388672
X: -13.028478622436523, Y: -57.186161041259766
X: -11.926039695739746, Y: -57.163787841796875
X: -10.903491973876953, Y: -57.144046783447266
X: -10.407462120056152, Y: -57.14824676513672
X: -9.44493579864502, Y: -57.1500129699707
X: -8.9803466796875, Y: -57.14804458618164
X: -8.091190338134766, Y: -57.14411926269531
X: -7.666842937469482, Y: -57.14330291748047
X: -7.252536296844482, Y: -57.14289474487305
X: -6.846615314483643, Y: -57.14274215698242
X: -6.062363624572754, Y: -57.143104553222656
X: -5.685141563415527, Y: -57.14313888549805
X: -4.964288234710693, Y: -57.142669677734375
X: -4.620458602905273, Y: -57.14234161376953
X: -3.960949420928955, Y: -57.14182662963867
X: -3.642076253890991, Y: -57.14200973510742
X: -3.0206875801086426, Y: -57.142845153808594
X: -2.718986988067627, Y: -57.143310546875
X: -2.140953302383423, Y: -57.144290924072266
X: -1.5972892045974731, Y: -57.14518356323242
X: -1.3368101119995117, Y: -57.14557647705078
X: -0.834825873374939, Y: -57.146453857421875
X: -0.5906417369842529, Y: -57.146995544433594
X: -0.34183269739151, Y: -57.14754104614258
X: 0.19580474495887756, Y: -57.1486701965332
X: 0.4895423650741577, Y: -57.14929962158203
X: 0.8011062145233154, Y: -57.14992904663086
X: 1.476604700088501, Y: -57.1512451171875
X: 1.8390437364578247, Y: -57.15201950073242
X: 2.609471082687378, Y: -57.15372848510742
X: 3.017383575439453, Y: -57.154666900634766
X: 3.8833630084991455, Y: -57.15675354003906
X: 4.341601848602295, Y: -57.1578254699707
X: 4.815229892730713, Y: -57.15895462036133
X: 5.80399751663208, Y: -57.16139602661133
X: 6.309187889099121, Y: -57.16269302368164
X: 7.3173651695251465, Y: -57.16538619995117
X: 7.8214335441589355, Y: -57.16679000854492
X: 8.33242130279541, Y: -57.16823196411133
X: 8.853265762329102, Y: -57.16969299316406
X: 9.929802894592285, Y: -57.17262649536133
X: 11.052495956420898, Y: -57.175662994384766
X: 11.629796981811523, Y: -57.17723083496094
X: 12.818859100341797, Y: -57.18054962158203
X: 13.433622360229492, Y: -57.18229675292969
X: 14.061687469482422, Y: -57.18409729003906
X: 15.350543022155762, Y: -57.187889099121094
X: 16.676956176757812, Y: -57.191795349121094
X: 18.042680740356445, Y: -57.19583511352539
X: 18.743627548217773, Y: -57.19792175292969
X: 19.45675277709961, Y: -57.20003128051758
X: 20.913185119628906, Y: -57.20441436767578
X: 22.40064239501953, Y: -57.20896911621094
X: 23.154720306396484, Y: -57.21501922607422
X: 24.6680908203125, Y: -57.22814178466797
X: 26.13189125061035, Y: -57.24045181274414
X: 26.835161209106445, Y: -57.24641036987305
X: 28.179372787475586, Y: -57.2578010559082
X: 28.820213317871094, Y: -57.263221740722656
X: 30.040449142456055, Y: -57.27354049682617
X: 30.62063217163086, Y: -57.278446197509766
X: 31.722824096679688, Y: -57.28778076171875
X: 32.2459602355957, Y: -57.29222106933594
X: 33.251522064208984, Y: -57.30077362060547
X: 34.22510528564453, Y: -57.30902862548828
X: 34.69411849975586, Y: -57.31298828125
X: 35.597808837890625, Y: -57.32061767578125
X: 36.03311538696289, Y: -57.32430648803711
X: 36.87101745605469, Y: -57.3315315246582
X: 37.273746490478516, Y: -57.33504867553711
X: 38.0487060546875, Y: -57.34178924560547
X: 38.42227554321289, Y: -57.345008850097656
X: 39.1418571472168, Y: -57.35111618041992
X: 39.824954986572266, Y: -57.35695266723633
X: 40.473655700683594, Y: -57.36251449584961
X: 40.786590576171875, Y: -57.36518096923828
X: 41.39070129394531, Y: -57.37031173706055
X: 41.681114196777344, Y: -57.3727912902832
X: 42.23416519165039, Y: -57.37752151489258
X: 42.49736785888672, Y: -57.37976837158203
X: 42.753875732421875, Y: -57.381961822509766
X: 43.26533508300781, Y: -57.38480758666992
X: 43.828948974609375, Y: -57.38684844970703
X: 44.135887145996094, Y: -57.38798522949219
X: 44.45973205566406, Y: -57.38848876953125
X: 44.81099319458008, Y: -57.388763427734375
X: 45.19856262207031, Y: -57.38911437988281
X: 45.62024688720703, Y: -57.389564514160156
X: 46.067893981933594, Y: -57.39009094238281
X: 46.53266143798828, Y: -57.39069366455078
X: 47.00740432739258, Y: -57.391326904296875
X: 47.48726272583008, Y: -57.391990661621094
X: 47.96931457519531, Y: -57.39265441894531
X: 48.45197677612305, Y: -57.393348693847656
X: 48.934505462646484, Y: -57.39404296875
X: 49.41666030883789, Y: -57.39472961425781
X: 49.89839553833008, Y: -57.39541244506836
X: 50.37979507446289, Y: -57.39609909057617
X: 50.86094665527344, Y: -57.39678192138672
X: 51.34193801879883, Y: -57.39746856689453
X: 51.82282638549805, Y: -57.39815139770508
X: 52.30366516113281, Y: -57.39883804321289
X: 52.78447723388672, Y: -57.39951705932617
X: 53.26528549194336, Y: -57.40019989013672
X: 53.746097564697266, Y: -57.400882720947266
X: 54.22690963745117, Y: -57.40156555175781
X: 54.70771789550781, Y: -57.40224838256836
X: 55.18852996826172, Y: -57.40293502807617
X: 55.66933822631836, Y: -57.40361785888672
X: 56.150150299072266, Y: -57.404335021972656
X: 56.63096237182617, Y: -57.40504455566406
X: 57.11177062988281, Y: -57.40572738647461
X: 57.59258270263672, Y: -57.40645217895508
X: 58.07339096069336, Y: -57.40716552734375
X: 58.55412292480469, Y: -57.407264709472656
X: 59.0345458984375, Y: -57.406219482421875
X: 59.514617919921875, Y: -57.40472412109375
X: 59.994441986083984, Y: -57.4029426574707
X: 60.474334716796875, Y: -57.40046310424805
X: 60.954647064208984, Y: -57.39772415161133
X: 61.435482025146484, Y: -57.3941535949707
X: 61.91666030883789, Y: -57.388553619384766
X: 62.39775085449219, Y: -57.37795639038086
X: 62.8786506652832, Y: -57.365081787109375
X: 63.35922622680664, Y: -57.3485107421875
X: 63.83968734741211, Y: -57.33031463623047
X: 64.32007598876953, Y: -57.30928039550781
X: 64.80059051513672, Y: -57.28704833984375
X: 65.28111267089844, Y: -57.2621955871582
X: 65.76158142089844, Y: -57.23622512817383
X: 66.24181365966797, Y: -57.20779800415039
