X: -30.292781829833984, Y: -57.47940444946289
X: -28.899826049804688, Y: -57.45606994628906
X: -27.466154098510742, Y: -57.43164825439453
X: -26.72728729248047, Y: -57.41886901855469
X: -25.211854934692383, Y: -57.39226531982422
X: -23.66383934020996, Y: -57.364681243896484
X: -22.086193084716797, Y: -57.33625793457031
X: -20.46441650390625, Y: -57.306819915771484
X: -18.79379653930664, Y: -57.27529525756836
X: -17.10749053955078, Y: -57.241146087646484
X: -16.28605079650879, Y: -57.22360610961914
X: -14.7047700881958, Y: -57.18842315673828
X: -13.202937126159668, Y: -57.1541748046875
X: -12.481922149658203, Y: -57.13783264160156
X: -11.106109619140625, Y: -57.10818862915039
X: -9.821672439575195, Y: -57.082763671875
X: -9.211824417114258, Y: -57.07118225097656
X: -8.051751136779785, Y: -57.04890060424805
X: -6.9688262939453125, Y: -57.027587890625
X: -5.958578586578369, Y: -57.00758743286133
X: -4.986005783081055, Y: -56.99160385131836
X: -4.048357963562012, Y: -56.978782653808594
X: -3.145786762237549, Y: -56.96738052368164
X: -2.7113401889801025, Y: -56.961849212646484
X: -1.8812319040298462, Y: -56.950439453125
X: -1.0970603227615356, Y: -56.93980407714844
X: -0.7179415822029114, Y: -56.934852600097656
X: 0.017012938857078552, Y: -56.92574691772461
X: 0.7170124650001526, Y: -56.91707992553711
X: 1.3757140636444092, Y: -56.909568786621094
X: 1.6904476881027222, Y: -56.90602493286133
X: 2.297760486602783, Y: -56.89933776855469
X: 2.878070116043091, Y: -56.89313507080078
X: 3.1570167541503906, Y: -56.89012908935547
X: 3.6929404735565186, Y: -56.88423156738281
X: 4.202888488769531, Y: -56.878665924072266
X: 4.690143585205078, Y: -56.873329162597656
X: 5.153833389282227, Y: -56.86837387084961
X: 5.59048318862915, Y: -56.86375045776367
X: 6.016639232635498, Y: -56.85927200317383
X: 6.4900126457214355, Y: -56.85422897338867
X: 7.031032562255859, Y: -56.84850311279297
X: 7.638936996459961, Y: -56.84206771850586
X: 8.31048583984375, Y: -56.83504104614258
X: 9.047811508178711, Y: -56.82738494873047
X: 9.851947784423828, Y: -56.81897735595703
X: 10.71762466430664, Y: -56.80992889404297
X: 11.172718048095703, Y: -56.80516815185547
X: 12.130109786987305, Y: -56.79518127441406
X: 12.631497383117676, Y: -56.78995895385742
X: 13.644646644592285, Y: -56.77940368652344
X: 14.653606414794922, Y: -56.76902770996094
X: 15.684149742126465, Y: -56.75851821899414
X: 16.762367248535156, Y: -56.74753952026367
X: 17.893888473510742, Y: -56.736019134521484
X: 19.07277488708496, Y: -56.724002838134766
X: 20.291303634643555, Y: -56.711551666259766
X: 21.556316375732422, Y: -56.69870376586914
X: 22.871103286743164, Y: -56.68551254272461
X: 23.545827865600586, Y: -56.678768157958984
X: 24.926029205322266, Y: -56.66496276855469
X: 26.346323013305664, Y: -56.65073013305664
X: 27.071596145629883, Y: -56.64345932006836
X: 28.55328369140625, Y: -56.62864685058594
X: 30.077543258666992, Y: -56.613460540771484
X: 31.64129066467285, Y: -56.59791946411133
X: 33.23920440673828, Y: -56.58201599121094
X: 34.04901885986328, Y: -56.57392883300781
