X: -30.752553939819336, Y: -57.53193664550781
X: -28.714242935180664, Y: -57.49884796142578
X: -27.292675018310547, Y: -57.47464370727539
X: -25.84337615966797, Y: -57.44893264770508
X: -23.61419677734375, Y: -57.40843963623047
X: -22.056529998779297, Y: -57.3798713684082
X: -19.628623962402344, Y: -57.325721740722656
X: -17.983722686767578, Y: -57.284080505371094
X: -15.450535774230957, Y: -57.21757507324219
X: -13.708212852478027, Y: -57.17325210571289
X: -11.95881175994873, Y: -57.1315803527832
X: -10.277469635009766, Y: -57.09326171875
X: -7.919223308563232, Y: -57.03993606567383
X: -6.464130878448486, Y: -57.00690841674805
X: -5.101369857788086, Y: -56.97909164428711
X: -3.81420636177063, Y: -56.95817565917969
X: -2.0186007022857666, Y: -56.93429946899414
X: -0.9258592128753662, Y: -56.92085266113281
X: 0.5860522985458374, Y: -56.90028762817383
X: 2.0274810791015625, Y: -56.88175964355469
X: 2.938145399093628, Y: -56.87092971801758
X: 3.7982168197631836, Y: -56.862117767333984
X: 4.613046646118164, Y: -56.85468673706055
X: 5.390902519226074, Y: -56.84764099121094
X: 6.483109474182129, Y: -56.837318420410156
X: 7.164072513580322, Y: -56.83064270019531
X: 8.127850532531738, Y: -56.82101058959961
X: 8.73261833190918, Y: -56.81524658203125
X: 9.304234504699707, Y: -56.80987548828125
X: 10.11223030090332, Y: -56.80244064331055
X: 10.620213508605957, Y: -56.79780197143555
X: 11.101275444030762, Y: -56.79335021972656
X: 11.554502487182617, Y: -56.78915786743164
X: 11.982758522033691, Y: -56.78519821166992
X: 12.626452445983887, Y: -56.779232025146484
X: 13.122895240783691, Y: -56.77466583251953
X: 13.689571380615234, Y: -56.76948165893555
X: 14.682162284851074, Y: -56.760345458984375
X: 15.42976188659668, Y: -56.75354766845703
X: 16.660734176635742, Y: -56.74209976196289
X: 17.554534912109375, Y: -56.73373031616211
X: 19.005584716796875, Y: -56.7202033996582
X: 20.019235610961914, Y: -56.710872650146484
X: 21.557979583740234, Y: -56.69679641723633
X: 23.174711227416992, Y: -56.68204879760742
X: 24.305994033813477, Y: -56.67170715332031
X: 25.48194694519043, Y: -56.66087341308594
X: 27.330148696899414, Y: -56.6436767578125
X: 28.61604118347168, Y: -56.63167953491211
X: 30.62698745727539, Y: -56.613094329833984
X: 31.318824768066406, Y: -56.60675811767578
X: 32.7352409362793, Y: -56.59376525878906
X: 34.93729019165039, Y: -56.57343292236328
X: 36.45143127441406, Y: -56.55937194824219
X: 38.79097366333008, Y: -56.53779983520508
X: 41.20140838623047, Y: -56.653621673583984
X: 42.822349548339844, Y: -56.79460906982422
X: 45.14420700073242, Y: -56.99462127685547
X: 46.59025955200195, Y: -57.11954879760742
X: 48.586273193359375, Y: -57.29198455810547
X: 50.39021301269531, Y: -57.44789505004883
X: 51.50164794921875, Y: -57.540550231933594
X: 53.03617477416992, Y: -57.66144561767578
X: 53.524227142333984, Y: -57.67853927612305
X: 53.9966926574707, Y: -57.664466857910156
X: 54.454925537109375, Y: -57.644046783447266
X: 54.89862060546875, Y: -57.62420654296875
X: 55.32799530029297, Y: -57.60609436035156
X: 55.74470138549805, Y: -57.589481353759766
X: 56.15143966674805, Y: -57.57398223876953
X: 56.551029205322266, Y: -57.55924606323242
X: 56.94581985473633, Y: -57.54500961303711
X: 57.337581634521484, Y: -57.53109359741211
X: 57.72755813598633, Y: -57.51740264892578
X: 58.11656188964844, Y: -57.50383758544922
X: 58.50508117675781, Y: -57.4903450012207
X: 58.8934211730957, Y: -57.4769172668457
X: 59.281707763671875, Y: -57.46352005004883
X: 59.670066833496094, Y: -57.45355987548828
X: 60.05855178833008, Y: -57.4451789855957
X: 60.44715118408203, Y: -57.43684768676758
X: 60.83586120605469, Y: -57.428279876708984
X: 61.22472381591797, Y: -57.42137908935547
X: 61.613929748535156, Y: -57.41520309448242
X: 62.00350570678711, Y: -57.408939361572266
X: 62.3931770324707, Y: -57.40035629272461
X: 62.78245544433594, Y: -57.390647888183594
X: 63.171165466308594, Y: -57.3808479309082
X: 63.559329986572266, Y: -57.371150970458984
X: 63.94680404663086, Y: -57.35736083984375
X: 64.33381652832031, Y: -57.34169387817383
X: 64.7205581665039, Y: -57.326019287109375
X: 65.10643005371094, Y: -57.30324935913086
X: 65.49197387695312, Y: -57.276649475097656
X: 65.87764739990234, Y: -57.24998474121094
X: 66.26351928710938, Y: -57.22389221191406
X: 66.64901733398438, Y: -57.193729400634766
X: 67.03423309326172, Y: -57.161766052246094
X: 67.41828155517578, Y: -57.12187957763672
X: 67.80255889892578, Y: -57.07788848876953
X: 68.18793487548828, Y: -57.03383255004883
X: 68.57437133789062, Y: -56.99039077758789
X: 68.96065521240234, Y: -56.94135665893555
X: 69.34732055664062, Y: -56.889583587646484
X: 69.73292541503906, Y: -56.83018112182617
X: 70.11775970458984, Y: -56.76724624633789
X: 70.50227355957031, Y: -56.70452880859375
X: 70.88646697998047, Y: -56.642635345458984
X: 71.26805877685547, Y: -56.57160568237305
X: 71.64847564697266, Y: -56.494930267333984
X: 72.02931213378906, Y: -56.41797637939453
X: 72.41072845458984, Y: -56.341697692871094
X: 72.78944396972656, Y: -56.25507736206055
X: 73.1668701171875, Y: -56.16156005859375
X: 73.54503631591797, Y: -56.06751251220703
X: 73.92406463623047, Y: -55.974159240722656
X: 74.29914093017578, Y: -55.86924362182617
X: 74.67105865478516, Y: -55.75606155395508
X: 75.0425796508789, Y: -55.642391204833984
X: 75.41410827636719, Y: -55.52975082397461
X: 75.78240203857422, Y: -55.4100341796875
X: 76.15023040771484, Y: -55.28623580932617
X: 76.52529907226562, Y: -55.14875411987305
X: 76.91898345947266, Y: -54.99882125854492
X: 77.33343505859375, Y: -54.84129333496094
X: 77.7646484375, Y: -54.67871856689453
X: 78.20396423339844, Y: -54.50541305541992
X: 78.64817810058594, Y: -54.325931549072266
X: 79.0904312133789, Y: -54.13485336303711
X: 79.53087615966797, Y: -53.93722152709961
X: 79.9712905883789, Y: -53.73920440673828
X: 80.40534973144531, Y: -53.53016662597656
X: 80.8359603881836, Y: -53.31290817260742
X: 81.26744842529297, Y: -53.094261169433594
X: 81.69476318359375, Y: -52.86665344238281
X: 82.11959838867188, Y: -52.63379669189453
X: 82.53314971923828, Y: -52.38608932495117
X: 82.93656921386719, Y: -52.126747131347656
X: 83.3375244140625, Y: -51.86629104614258
X: 83.73048400878906, Y: -51.59711837768555
X: 84.12063598632812, Y: -51.322059631347656
X: 84.51255798339844, Y: -51.04570770263672
X: 84.51255798339844, Y: -51.04570770263672
X: 84.51255798339844, Y: -51.04570770263672
X: 84.51255798339844, Y: -51.04570770263672
X: 84.8971176147461, Y: -50.75811004638672
X: 85.27684020996094, Y: -50.46271514892578
X: 85.65684509277344, Y: -50.166107177734375
X: 86.03778839111328, Y: -49.86993408203125
X: 86.41948699951172, Y: -49.574466705322266
X: 86.80166625976562, Y: -49.27961730957031
X: 87.18413543701172, Y: -48.9852180480957
X: 87.5667724609375, Y: -48.691131591796875
X: 87.93973541259766, Y: -48.38691711425781
X: 88.3034439086914, Y: -48.07305908203125
X: 88.65007781982422, Y: -47.74492645263672
X: 88.9820556640625, Y: -47.40538024902344
X: 89.31131744384766, Y: -47.06413650512695
X: 89.63338470458984, Y: -46.7180061340332
X: 89.95188903808594, Y: -46.369930267333984
X: 90.26765441894531, Y: -46.01951217651367
X: 90.58441162109375, Y: -45.666439056396484
X: 90.90421295166016, Y: -45.311279296875
X: 91.22364807128906, Y: -44.95162582397461
X: 91.54344177246094, Y: -44.58914566040039
X: 91.85606384277344, Y: -44.219505310058594
X: 92.16374969482422, Y: -43.84590148925781
X: 92.47077941894531, Y: -43.472312927246094
X: 92.7637710571289, Y: -43.09052658081055
X: 93.04425811767578, Y: -42.701175689697266
X: 93.32290649414062, Y: -42.310550689697266
X: 93.58598327636719, Y: -41.91165542602539
X: 93.83661651611328, Y: -41.50545883178711
X: 94.08601379394531, Y: -41.09747314453125
X: 94.3294448852539, Y: -40.6856689453125
X: 94.55850219726562, Y: -40.26647186279297
X: 94.78128814697266, Y: -39.84222412109375
X: 95.00479125976562, Y: -39.41592788696289
X: 95.22521209716797, Y: -38.98633575439453
X: 95.44448852539062, Y: -38.55485534667969
X: 95.65441131591797, Y: -38.118873596191406
