-20.662255, -57.691007, 5.895166
-20.603305, -57.690601, 5.901311
-20.548169, -57.690254, 5.903484
-20.496104, -57.689954, 5.902081
-20.446359, -57.689688, 5.897502
-20.398182, -57.689446, 5.890146
-20.350824, -57.689213, 5.880413
-20.303533, -57.688978, 5.868701
-20.255560, -57.688730, 5.855411
-20.206153, -57.688454, 5.840942
-20.154563, -57.688140, 5.825692
-20.100107, -57.687775, 5.810039
-20.042780, -57.687361, 5.794132
-19.982960, -57.686903, 5.777989
-19.921027, -57.686408, 5.761632
-19.857362, -57.685882, 5.745079
-19.792346, -57.685333, 5.728349
-19.726359, -57.684765, 5.711461
-19.659782, -57.684186, 5.694435
-19.592997, -57.683601, 5.677290
-19.526384, -57.683019, 5.660045
-19.460300, -57.682444, 5.642725
-19.394855, -57.681878, 5.625426
-19.330012, -57.681321, 5.608281
-19.265735, -57.680773, 5.591427
-19.201986, -57.680233, 5.574997
-19.138728, -57.679700, 5.559128
-19.075923, -57.679175, 5.543955
-19.013533, -57.678656, 5.529613
-18.951522, -57.678144, 5.516237
-18.889852, -57.677637, 5.503961
-18.828479, -57.677135, 5.492928
-18.767293, -57.676637, 5.483331
-18.706146, -57.676143, 5.475401
-18.644888, -57.675650, 5.469368
-18.583367, -57.675159, 5.465460
-18.521434, -57.674667, 5.463908
-18.458938, -57.674173, 5.464942
-18.395730, -57.673677, 5.468791
-18.331659, -57.673177, 5.475686
-18.266574, -57.672672, 5.485855
-18.200355, -57.672160, 5.499488
-18.133200, -57.671644, 5.516291
-18.065516, -57.671122, 5.535665
-17.997709, -57.670596, 5.557006
-17.930188, -57.670068, 5.579711
-17.863362, -57.669538, 5.603177
-17.797638, -57.669007, 5.626799
-17.733424, -57.668477, 5.649973
-17.671130, -57.667947, 5.672097
-17.611162, -57.667420, 5.692566
-17.553890, -57.666897, 5.710816
-17.499193, -57.666377, 5.726750
-17.446632, -57.665860, 5.740585
-17.395760, -57.665346, 5.752541
-17.346129, -57.664836, 5.762838
-17.297294, -57.664328, 5.771698
-17.248808, -57.663823, 5.779342
-17.200224, -57.663320, 5.785989
-17.151095, -57.662820, 5.791862
-17.100975, -57.662322, 5.797181
-17.049450, -57.661825, 5.802151
