X : 70.50257873535156, Y : -56.7451171875
X : 71.48096466064453, Y : -56.57508850097656
X : 71.96687316894531, Y : -56.48677444458008
X : 72.92689514160156, Y : -56.27094268798828
X : 73.40724182128906, Y : -56.15055465698242
X : 74.36966705322266, Y : -55.885765075683594
X : 75.33077239990234, Y : -55.6082763671875
X : 75.80580139160156, Y : -55.45799255371094
X : 76.7394027709961, Y : -55.12507247924805
X : 77.20361328125, Y : -54.954559326171875
X : 78.12506103515625, Y : -54.58847427368164
X : 79.04756927490234, Y : -54.20146942138672
X : 79.95973205566406, Y : -53.79991149902344
X : 80.40618896484375, Y : -53.58882141113281
X : 80.84280395507812, Y : -53.36473846435547
X : 81.70655822753906, Y : -52.87929916381836
X : 82.57593536376953, Y : -52.379486083984375
X : 83.00884246826172, Y : -52.12725830078125
X : 83.84382629394531, Y : -51.577186584472656
X : 84.67021942138672, Y : -51.014827728271484
X : 85.08206939697266, Y : -50.73236846923828
X : 85.88957214355469, Y : -50.14149856567383
X : 86.2872314453125, Y : -49.83949279785156
X : 87.06403350830078, Y : -49.22085952758789
X : 87.43942260742188, Y : -48.9078369140625
X : 88.15838623046875, Y : -48.247859954833984
X : 88.88226318359375, Y : -47.556312561035156
X : 89.24100494384766, Y : -47.20616912841797
X : 89.94048309326172, Y : -46.49285888671875
X : 90.2821273803711, Y : -46.13081741333008
X : 90.93943786621094, Y : -45.387245178222656
X : 91.2634048461914, Y : -45.00748825073242
X : 91.89063262939453, Y : -44.22858810424805
X : 92.19925689697266, Y : -43.834999084472656
X : 92.7935791015625, Y : -43.03739547729492
X : 93.08431243896484, Y : -42.640907287597656
X : 93.36334991455078, Y : -42.24017333984375
X : 93.89076232910156, Y : -41.407920837402344
X : 94.15396118164062, Y : -40.98237228393555
X : 94.41338348388672, Y : -40.55460739135742
X : 94.88886260986328, Y : -39.68323516845703
X : 95.12419891357422, Y : -39.25128936767578
X : 95.59717559814453, Y : -38.386600494384766
X : 95.83015441894531, Y : -37.94684982299805
X : 96.25514221191406, Y : -37.04314422607422
X : 96.44850158691406, Y : -36.583839416503906
X : 96.8222427368164, Y : -35.66671371459961
X : 97.18292999267578, Y : -34.75468063354492
X : 97.35234069824219, Y : -34.296226501464844
X : 97.63658142089844, Y : -33.3544807434082
X : 97.77261352539062, Y : -32.87576675415039
X : 98.04290008544922, Y : -31.916271209716797
X : 98.17529296875, Y : -31.43971824645996
X : 98.41751861572266, Y : -30.49394416809082
