X : 37.058292388916016, Y : -57.150482177734375
X : 37.54677200317383, Y : -57.1553840637207
X : 38.02571105957031, Y : -57.15774917602539
X : 38.50038146972656, Y : -57.15819549560547
X : 38.974815368652344, Y : -57.15301513671875
X : 39.45158004760742, Y : -57.14491271972656
X : 39.93138122558594, Y : -57.13650894165039
X : 40.41362380981445, Y : -57.13220977783203
X : 40.89704513549805, Y : -57.130374908447266
X : 41.37997055053711, Y : -57.13999938964844
X : 41.862205505371094, Y : -57.1578369140625
X : 42.34531784057617, Y : -57.18313217163086
X : 42.84153747558594, Y : -57.21207046508789
X : 43.35344696044922, Y : -57.2413330078125
X : 43.86415100097656, Y : -57.26549530029297
X : 44.38656234741211, Y : -57.28528594970703
X : 44.92864990234375, Y : -57.29600524902344
X : 45.48173141479492, Y : -57.29890823364258
X : 46.03690719604492, Y : -57.30126190185547
X : 46.58965301513672, Y : -57.30534362792969
X : 47.13755416870117, Y : -57.30638885498047
X : 47.67942428588867, Y : -57.30410385131836
X : 48.21470260620117, Y : -57.300575256347656
X : 48.74304962158203, Y : -57.29587936401367
X : 49.26433563232422, Y : -57.290462493896484
X : 49.777435302734375, Y : -57.29045867919922
X : 50.279964447021484, Y : -57.29586410522461
X : 50.77800369262695, Y : -57.304866790771484
X : 51.27118682861328, Y : -57.31459426879883
X : 51.75669860839844, Y : -57.31679916381836
X : 52.23358154296875, Y : -57.31440734863281
X : 52.70439147949219, Y : -57.307952880859375
X : 53.180267333984375, Y : -57.299861907958984
X : 53.67103576660156, Y : -57.29894256591797
X : 54.183250427246094, Y : -57.30249786376953
X : 54.69685745239258, Y : -57.30683135986328
X : 55.21418762207031, Y : -57.31851577758789
X : 55.729862213134766, Y : -57.33705520629883
X : 56.23698425292969, Y : -57.35416793823242
X : 56.740779876708984, Y : -57.36824035644531
X : 57.24584197998047, Y : -57.37746047973633
X : 57.7509651184082, Y : -57.38341522216797
X : 58.253929138183594, Y : -57.38883590698242
X : 58.75548553466797, Y : -57.39201354980469
X : 59.25615692138672, Y : -57.39411544799805
X : 59.75692367553711, Y : -57.394779205322266
X : 60.25642013549805, Y : -57.3946418762207
X : 60.75669860839844, Y : -57.393611907958984
X : 61.255653381347656, Y : -57.39228057861328
X : 61.75325393676758, Y : -57.38611602783203
X : 62.253299713134766, Y : -57.37675476074219
X : 62.75292205810547, Y : -57.36245346069336
X : 63.251869201660156, Y : -57.345672607421875
X : 63.750980377197266, Y : -57.32880401611328
X : 64.24954986572266, Y : -57.3079719543457
X : 64.74649047851562, Y : -57.28505325317383
X : 65.24175262451172, Y : -57.258758544921875
X : 65.73680877685547, Y : -57.230926513671875
X : 66.2323226928711, Y : -57.19788360595703
X : 66.72970581054688, Y : -57.16206359863281
X : 67.22808074951172, Y : -57.11744689941406
X : 67.72490692138672, Y : -57.068172454833984
X : 68.22117614746094, Y : -57.01131820678711
X : 68.71778869628906, Y : -56.951087951660156
X : 69.21247100830078, Y : -56.884891510009766
X : 69.70729064941406, Y : -56.81554412841797
X : 70.20038604736328, Y : -56.73743438720703
X : 70.69202423095703, Y : -56.65424728393555
X : 71.18326568603516, Y : -56.57064437866211
X : 71.66996765136719, Y : -56.47623825073242
X : 72.14691925048828, Y : -56.375736236572266
X : 72.61273956298828, Y : -56.26771545410156
X : 73.07568359375, Y : -56.15594482421875
X : 73.5408706665039, Y : -56.036590576171875
