X : 38.845298767089844, Y : -57.08108139038086
X : 39.496116638183594, Y : -57.08423614501953
X : 40.17082595825195, Y : -57.09628677368164
X : 40.85543441772461, Y : -57.10955047607422
X : 41.547401428222656, Y : -57.12101745605469
X : 42.247005462646484, Y : -57.131229400634766
X : 42.95246887207031, Y : -57.136566162109375
X : 43.65226364135742, Y : -57.13737487792969
X : 44.337364196777344, Y : -57.13412094116211
X : 45.00432205200195, Y : -57.128231048583984
X : 45.65158462524414, Y : -57.120052337646484
X : 46.277801513671875, Y : -57.120330810546875
X : 46.88264083862305, Y : -57.129032135009766
X : 47.46638870239258, Y : -57.135032653808594
X : 48.029457092285156, Y : -57.13426971435547
X : 48.57244873046875, Y : -57.12974548339844
X : 49.096038818359375, Y : -57.12411880493164
X : 49.60127639770508, Y : -57.11420822143555
X : 50.099281311035156, Y : -57.11451721191406
X : 50.58782958984375, Y : -57.10944747924805
X : 51.0633544921875, Y : -57.09805679321289
X : 51.52547073364258, Y : -57.08379364013672
X : 51.9755859375, Y : -57.06882858276367
X : 52.414642333984375, Y : -57.04988479614258
X : 52.84305953979492, Y : -57.044593811035156
X : 53.25937271118164, Y : -57.0322151184082
X : 53.66496276855469, Y : -57.01078796386719
X : 54.061492919921875, Y : -57.00320816040039
X : 54.453025817871094, Y : -57.0059814453125
X : 54.8430061340332, Y : -57.00985336303711
X : 55.23293685913086, Y : -57.01337814331055
X : 55.62336730957031, Y : -57.0164680480957
X : 56.01443862915039, Y : -57.01923370361328
X : 56.40615463256836, Y : -57.021728515625
X : 56.798465728759766, Y : -57.02407455444336
X : 57.19099807739258, Y : -57.02632522583008
X : 57.58366394042969, Y : -57.02849578857422
X : 57.97642135620117, Y : -57.03060531616211
X : 58.36921691894531, Y : -57.032684326171875
X : 58.76365661621094, Y : -57.03474807739258
X : 59.1706657409668, Y : -57.036865234375
X : 59.59825897216797, Y : -57.039066314697266
X : 60.04573440551758, Y : -57.04136276245117
X : 60.50864028930664, Y : -57.04372787475586
X : 60.982025146484375, Y : -57.04615783691406
X : 61.461814880371094, Y : -57.04859924316406
X : 61.94511032104492, Y : -57.05108642578125
X : 62.43008804321289, Y : -57.05357360839844
X : 62.91568374633789, Y : -57.05606460571289
X : 63.40138626098633, Y : -57.05855178833008
X : 63.88694763183594, Y : -57.06104278564453
X : 64.372314453125, Y : -57.063533782958984
X : 64.85750579833984, Y : -57.06597900390625
X : 65.34255981445312, Y : -57.06842041015625
X : 65.8275146484375, Y : -57.0709114074707
X : 66.31128692626953, Y : -57.05954360961914
X : 66.79467010498047, Y : -57.03873062133789
X : 67.276611328125, Y : -57.00349044799805
X : 67.75831604003906, Y : -56.959964752197266
X : 68.24080657958984, Y : -56.91580581665039
X : 68.72146606445312, Y : -56.860408782958984
X : 69.2002182006836, Y : -56.79816818237305
X : 69.67781829833984, Y : -56.735687255859375
X : 70.15302276611328, Y : -56.661190032958984
X : 70.63345336914062, Y : -56.57754135131836
X : 71.12429809570312, Y : -56.49142837524414
X : 71.6194839477539, Y : -56.39287567138672
X : 72.11322784423828, Y : -56.28720474243164
X : 72.60660552978516, Y : -56.1798095703125
X : 73.10511779785156, Y : -56.06269836425781
X : 73.60069274902344, Y : -55.93865203857422
X : 74.09923553466797, Y : -55.811424255371094
X : 74.600341796875, Y : -55.67240905761719
X : 75.10580444335938, Y : -55.52174758911133
X : 75.61863708496094, Y : -55.36534118652344
X : 76.13593292236328, Y : -55.19562530517578
X : 76.65828704833984, Y : -55.01322555541992
X : 77.18598175048828, Y : -54.81884765625
X : 77.72029876708984, Y : -54.61561965942383
X : 78.25971984863281, Y : -54.40083312988281
X : 78.8034439086914, Y : -54.17702865600586
X : 79.33952331542969, Y : -53.94472885131836
X : 79.861083984375, Y : -53.709110260009766
X : 80.3631362915039, Y : -53.47005844116211
X : 80.84166717529297, Y : -53.22522735595703
X : 81.29924011230469, Y : -52.980247497558594
X : 81.74075317382812, Y : -52.73976516723633
X : 82.16913604736328, Y : -52.49168395996094
X : 82.58460998535156, Y : -52.2418212890625
X : 82.98766326904297, Y : -51.998661041259766
X : 83.37078094482422, Y : -51.75407028198242
X : 83.73702239990234, Y : -51.51178741455078
X : 84.09127807617188, Y : -51.276981353759766
X : 84.43632507324219, Y : -51.04941940307617
X : 84.76738739013672, Y : -50.81896209716797
X : 85.08816528320312, Y : -50.58774185180664
X : 85.404052734375, Y : -50.35966873168945
X : 85.7101821899414, Y : -50.1248664855957
X : 86.01958465576172, Y : -49.878631591796875
X : 86.34584045410156, Y : -49.61885070800781
X : 86.69043731689453, Y : -49.34598922729492
X : 87.04254913330078, Y : -49.054954528808594
X : 87.40021514892578, Y : -48.75193405151367
X : 87.75765228271484, Y : -48.43758010864258
X : 88.1165542602539, Y : -48.116703033447266
X : 88.47142028808594, Y : -47.78703689575195
X : 88.82420349121094, Y : -47.453128814697266
X : 89.16962432861328, Y : -47.11199951171875
X : 89.51119232177734, Y : -46.76710510253906
X : 89.8436050415039, Y : -46.412845611572266
X : 90.17537689208984, Y : -46.04812240600586
X : 90.51406860351562, Y : -45.67555618286133
X : 90.84495544433594, Y : -45.296600341796875
X : 91.1703109741211, Y : -44.90986633300781
X : 91.49687957763672, Y : -44.517513275146484
X : 91.8230972290039, Y : -44.119140625
X : 92.14677429199219, Y : -43.70731735229492
X : 92.46964263916016, Y : -43.2840461730957
X : 92.78981018066406, Y : -42.84746170043945
X : 93.11024475097656, Y : -42.39785385131836
X : 93.4266586303711, Y : -41.93165588378906
X : 93.74048614501953, Y : -41.45069885253906
X : 94.04785919189453, Y : -40.95487594604492
X : 94.35081481933594, Y : -40.44769287109375
X : 94.64859771728516, Y : -39.943687438964844
X : 94.92928314208984, Y : -39.447021484375
X : 95.19173431396484, Y : -38.96085739135742
X : 95.4337387084961, Y : -38.485816955566406
X : 95.65918731689453, Y : -38.023895263671875
X : 95.87618255615234, Y : -37.57316970825195
X : 96.08234405517578, Y : -37.125831604003906
X : 96.27896118164062, Y : -36.68872833251953
X : 96.45686340332031, Y : -36.26121139526367
X : 96.62135314941406, Y : -35.84505081176758
X : 96.77986145019531, Y : -35.44252014160156
X : 96.92330169677734, Y : -35.04994583129883
X : 97.05782318115234, Y : -34.665157318115234
X : 97.1900634765625, Y : -34.28660202026367
X : 97.32234191894531, Y : -33.9110107421875
X : 97.45082092285156, Y : -33.52462387084961
X : 97.58189392089844, Y : -33.11880111694336
X : 97.70966339111328, Y : -32.69176483154297
X : 97.83738708496094, Y : -32.248287200927734
X : 97.9683837890625, Y : -31.794212341308594
X : 98.08780670166016, Y : -31.331411361694336
X : 98.19803619384766, Y : -30.863719940185547
X : 98.30740356445312, Y : -30.394699096679688
X : 98.41585540771484, Y : -29.923986434936523
X : 98.52916717529297, Y : -29.4483699798584
X : 98.64607238769531, Y : -28.967180252075195
X : 98.7650375366211, Y : -28.476144790649414
X : 98.8838882446289, Y : -27.985801696777344
X : 99.0027847290039, Y : -27.49444580078125
X : 99.12175750732422, Y : -27.000507354736328
X : 99.24121856689453, Y : -26.49965476989746
X : 99.35796356201172, Y : -26.00290298461914
X : 99.45254516601562, Y : -25.51289939880371
X : 99.52836608886719, Y : -25.02790641784668
X : 99.61868286132812, Y : -24.555294036865234
X : 99.70814514160156, Y : -24.09513282775879
X : 99.79489135742188, Y : -23.64790916442871
X : 99.87904357910156, Y : -23.213491439819336
X : 99.96066284179688, Y : -22.791154861450195
X : 100.04014587402344, Y : -22.379432678222656
X : 100.11803436279297, Y : -21.97786521911621
X : 100.19344329833984, Y : -21.58578109741211
X : 100.26776123046875, Y : -21.19980239868164
X : 100.34136199951172, Y : -20.81745719909668
X : 100.4162368774414, Y : -20.428022384643555
X : 100.49421691894531, Y : -20.02220344543457
X : 100.57096099853516, Y : -19.595951080322266
X : 100.64907836914062, Y : -19.147485733032227
X : 100.72544860839844, Y : -18.67717742919922
X : 100.80228424072266, Y : -18.187589645385742
X : 100.87584686279297, Y : -17.685672760009766
X : 100.94644927978516, Y : -17.187023162841797
X : 101.01322937011719, Y : -16.687164306640625
X : 101.07872009277344, Y : -16.18206787109375
X : 101.12557220458984, Y : -15.679906845092773
X : 101.1103286743164, Y : -15.17308521270752
X : 101.05472564697266, Y : -14.6591157913208
X : 100.98491668701172, Y : -14.144193649291992
X : 100.9098129272461, Y : -13.624313354492188
X : 100.83393096923828, Y : -13.097310066223145
X : 100.75872039794922, Y : -12.562259674072266
X : 100.68404388427734, Y : -12.018654823303223
X : 100.60940551757812, Y : -11.466204643249512
X : 100.53437042236328, Y : -10.904768943786621
X : 100.45858001708984, Y : -10.334310531616211
X : 100.3818359375, Y : -9.754840850830078
X : 100.30422973632812, Y : -9.16812515258789
X : 100.22712707519531, Y : -8.5848388671875
X : 100.15159606933594, Y : -8.01349925994873
X : 100.07820892333984, Y : -7.45814847946167
X : 100.00715637207031, Y : -6.920693874359131
X : 99.9385986328125, Y : -6.4019455909729
X : 99.87232208251953, Y : -5.900519847869873
X : 99.80713653564453, Y : -5.407238483428955
X : 99.74307250976562, Y : -4.922543048858643
X : 99.68070220947266, Y : -4.450765132904053
X : 99.62030792236328, Y : -3.9938573837280273
X : 99.5619125366211, Y : -3.5522100925445557
X : 99.5055160522461, Y : -3.1255626678466797
X : 99.45099639892578, Y : -2.713029146194458
X : 99.40448760986328, Y : -2.311523199081421
X : 99.36249542236328, Y : -1.9169540405273438
X : 99.3211441040039, Y : -1.5263192653656006
X : 99.27958679199219, Y : -1.1376887559890747
X : 99.23738098144531, Y : -0.7498656511306763
X : 99.19469451904297, Y : -0.36191803216934204
X : 99.1517333984375, Y : 0.026553001254796982
X : 99.09818267822266, Y : 0.41360023617744446
X : 99.03893280029297, Y : 0.8001850843429565
X : 98.97925567626953, Y : 1.1872379779815674
X : 98.90919494628906, Y : 1.572152853012085
X : 98.83257293701172, Y : 1.956243872642517
X : 98.7555923461914, Y : 2.341120481491089
X : 98.66498565673828, Y : 2.7219481468200684
X : 98.56375122070312, Y : 3.0997607707977295
X : 98.44319915771484, Y : 3.470839262008667
X : 98.30301666259766, Y : 3.846813201904297
X : 98.1534652709961, Y : 4.241082191467285
X : 97.99846649169922, Y : 4.6538987159729
X : 97.81936645507812, Y : 5.069146156311035
X : 97.61306762695312, Y : 5.481595993041992
X : 97.39729309082031, Y : 5.900026321411133
X : 97.15898132324219, Y : 6.308518409729004
X : 96.89889526367188, Y : 6.705728530883789
X : 96.63182067871094, Y : 7.102998733520508
X : 96.3453369140625, Y : 7.48344087600708
X : 96.03876495361328, Y : 7.845592498779297
X : 95.72566223144531, Y : 8.204676628112793
X : 95.39575958251953, Y : 8.544010162353516
X : 95.04834747314453, Y : 8.864959716796875
X : 94.69396209716797, Y : 9.183732986450195
X : 94.32449340820312, Y : 9.483020782470703
X : 93.94020080566406, Y : 9.76525592803955
X : 93.54957580566406, Y : 10.045760154724121
X : 93.14678192138672, Y : 10.306079864501953
X : 92.73358154296875, Y : 10.548017501831055
X : 92.31714630126953, Y : 10.786604881286621
X : 91.8918228149414, Y : 11.00623893737793
X : 91.45308685302734, Y : 11.214276313781738
X : 91.00249481201172, Y : 11.424818992614746
X : 90.53762817382812, Y : 11.619423866271973
X : 90.06298828125, Y : 11.799718856811523
X : 89.58846282958984, Y : 11.975150108337402
X : 89.10465240478516, Y : 12.133341789245605
X : 88.61060333251953, Y : 12.275487899780273
X : 88.11310577392578, Y : 12.41265869140625
X : 87.60810089111328, Y : 12.53804874420166
X : 87.09386444091797, Y : 12.654634475708008
X : 86.57282257080078, Y : 12.776179313659668
X : 86.04627990722656, Y : 12.884684562683105
X : 85.51551818847656, Y : 12.943852424621582
X : 84.97610473632812, Y : 12.975839614868164
X : 84.42583465576172, Y : 12.99770736694336
X : 83.86531066894531, Y : 13.017959594726562
X : 83.29537200927734, Y : 13.039749145507812
X : 82.71634674072266, Y : 13.063557624816895
X : 82.12834930419922, Y : 13.089122772216797
X : 81.53143310546875, Y : 13.116008758544922
X : 80.92562103271484, Y : 13.143838882446289
X : 80.31097412109375, Y : 13.172355651855469
X : 79.68753051757812, Y : 13.201404571533203
X : 79.05537414550781, Y : 13.230904579162598
X : 78.41458129882812, Y : 13.260812759399414
X : 77.76699829101562, Y : 13.29102897644043
X : 77.1237564086914, Y : 13.32103443145752
X : 76.49369049072266, Y : 13.344057083129883
X : 75.88092803955078, Y : 13.359428405761719
X : 75.28752136230469, Y : 13.366415977478027
X : 74.713623046875, Y : 13.373981475830078
X : 74.15547943115234, Y : 13.383575439453125
X : 73.6104736328125, Y : 13.393317222595215
X : 73.07728576660156, Y : 13.402509689331055
X : 72.55396270751953, Y : 13.411232948303223
X : 72.04065704345703, Y : 13.414368629455566
X : 71.53819274902344, Y : 13.417306900024414
X : 71.03851318359375, Y : 13.421703338623047
X : 70.54680633544922, Y : 13.426175117492676
X : 70.06613159179688, Y : 13.430734634399414
X : 69.59365844726562, Y : 13.435348510742188
X : 69.12950897216797, Y : 13.440508842468262
X : 68.67622375488281, Y : 13.443989753723145
X : 68.23420715332031, Y : 13.449047088623047
X : 67.80510711669922, Y : 13.454038619995117
X : 67.39024353027344, Y : 13.458536148071289
X : 66.98867797851562, Y : 13.462846755981445
X : 66.59701538085938, Y : 13.467046737670898
X : 66.21513366699219, Y : 13.471444129943848
X : 65.83684539794922, Y : 13.47508430480957
X : 65.46170043945312, Y : 13.478416442871094
X : 65.09593963623047, Y : 13.482696533203125
X : 64.7396469116211, Y : 13.486448287963867
X : 64.3843765258789, Y : 13.490095138549805
X : 64.0217514038086, Y : 13.493844032287598
X : 63.643890380859375, Y : 13.497776985168457
X : 63.24672317504883, Y : 13.501920700073242
X : 62.829315185546875, Y : 13.506300926208496
X : 62.39168930053711, Y : 13.51090145111084
X : 61.936405181884766, Y : 13.508007049560547
X : 61.4675178527832, Y : 13.50727367401123
X : 60.98447799682617, Y : 13.508736610412598
X : 60.48667526245117, Y : 13.507569313049316
X : 59.98350143432617, Y : 13.50918197631836
X : 59.47636032104492, Y : 13.510525703430176
X : 58.96442413330078, Y : 13.511650085449219
X : 58.44760513305664, Y : 13.512887001037598
X : 57.93600845336914, Y : 13.50811767578125
X : 57.419246673583984, Y : 13.503063201904297
X : 56.89772033691406, Y : 13.500608444213867
X : 56.368797302246094, Y : 13.497031211853027
X : 55.82224655151367, Y : 13.49193000793457
X : 55.25692367553711, Y : 13.486804008483887
X : 54.66385269165039, Y : 13.477496147155762
X : 54.04722213745117, Y : 13.469109535217285
X : 53.41533660888672, Y : 13.460918426513672
X : 52.77711868286133, Y : 13.453351974487305
X : 52.13576126098633, Y : 13.446840286254883
X : 51.49555587768555, Y : 13.4414644241333
X : 50.86619567871094, Y : 13.437247276306152
X : 50.250003814697266, Y : 13.434125900268555
X : 49.6463508605957, Y : 13.432050704956055
X : 49.05558395385742, Y : 13.430975914001465
X : 48.47871017456055, Y : 13.430838584899902
X : 47.91695785522461, Y : 13.431560516357422
X : 47.37141418457031, Y : 13.433053016662598
X : 46.842288970947266, Y : 13.435290336608887
X : 46.3267707824707, Y : 13.438285827636719
X : 45.821624755859375, Y : 13.442167282104492
X : 45.3221321105957, Y : 13.447370529174805
X : 44.826507568359375, Y : 13.452424049377441
X : 44.34267044067383, Y : 13.457315444946289
X : 43.87373352050781, Y : 13.462034225463867
X : 43.420005798339844, Y : 13.466583251953125
X : 42.979549407958984, Y : 13.470978736877441
X : 42.546199798583984, Y : 13.475292205810547
X : 42.11782455444336, Y : 13.479562759399414
X : 41.696834564208984, Y : 13.483760833740234
X : 41.28538513183594, Y : 13.48787784576416
X : 40.88628005981445, Y : 13.491899490356445
X : 40.50031280517578, Y : 13.495793342590332
X : 40.12722396850586, Y : 13.499552726745605
X : 39.765625, Y : 13.50319766998291
X : 39.41318893432617, Y : 13.50675106048584
X : 39.063682556152344, Y : 13.502848625183105
X : 38.70393371582031, Y : 13.50179386138916
X : 38.32715606689453, Y : 13.50278091430664
X : 37.93288040161133, Y : 13.50395679473877
X : 37.521812438964844, Y : 13.505197525024414
X : 37.093807220458984, Y : 13.506492614746094
