X : -30.95330810546875, Y : -57.69315719604492
X : -30.236469268798828, Y : -57.686767578125
X : -29.524009704589844, Y : -57.68566131591797
X : -28.815214157104492, Y : -57.68949508666992
X : -28.108171463012695, Y : -57.69378662109375
X : -27.39434242248535, Y : -57.69737243652344
X : -26.674957275390625, Y : -57.70063018798828
X : -25.955223083496094, Y : -57.695472717285156
X : -25.23301124572754, Y : -57.680233001708984
X : -24.507856369018555, Y : -57.66738510131836
X : -23.790241241455078, Y : -57.65147399902344
X : -23.091224670410156, Y : -57.63930130004883
X : -22.41292381286621, Y : -57.63126754760742
X : -21.755172729492188, Y : -57.62549591064453
X : -21.118927001953125, Y : -57.62451934814453
X : -20.506593704223633, Y : -57.62570571899414
X : -19.91311264038086, Y : -57.63349151611328
X : -19.342737197875977, Y : -57.63384246826172
X : -18.793624877929688, Y : -57.63462448120117
X : -18.26494026184082, Y : -57.63771438598633
X : -17.756202697753906, Y : -57.641048431396484
X : -17.258562088012695, Y : -57.64524841308594
X : -16.770231246948242, Y : -57.64989471435547
X : -16.295127868652344, Y : -57.65676498413086
X : -15.829391479492188, Y : -57.664676666259766
X : -15.369524955749512, Y : -57.67060089111328
X : -14.912453651428223, Y : -57.675315856933594
X : -14.458877563476562, Y : -57.67633819580078
X : -14.01226806640625, Y : -57.67543029785156
X : -13.573959350585938, Y : -57.67439651489258
X : -13.144898414611816, Y : -57.67646026611328
X : -12.72694206237793, Y : -57.68025588989258
X : -12.32068920135498, Y : -57.68434143066406
X : -11.926098823547363, Y : -57.68822479248047
X : -11.542943954467773, Y : -57.692626953125
X : -11.170944213867188, Y : -57.69725036621094
X : -10.809700965881348, Y : -57.70003890991211
X : -10.459829330444336, Y : -57.70179748535156
X : -10.121489524841309, Y : -57.70344161987305
X : -9.794493675231934, Y : -57.70684051513672
X : -9.479053497314453, Y : -57.702518463134766
X : -9.167545318603516, Y : -57.70269775390625
X : -8.859654426574707, Y : -57.70588684082031
X : -8.55556583404541, Y : -57.706146240234375
X : -8.24940013885498, Y : -57.705081939697266
X : -7.938274383544922, Y : -57.70406723022461
X : -7.621471881866455, Y : -57.701316833496094
X : -7.290573596954346, Y : -57.69786071777344
X : -6.940677165985107, Y : -57.69911575317383
X : -6.573884010314941, Y : -57.702919006347656
X : -6.190487384796143, Y : -57.69792175292969
X : -5.783792018890381, Y : -57.70178985595703
X : -5.354087829589844, Y : -57.711917877197266
X : -4.904853820800781, Y : -57.71013641357422
X : -4.4387526512146, Y : -57.7042236328125
X : -3.952740430831909, Y : -57.69721984863281
X : -3.4475178718566895, Y : -57.678192138671875
X : -2.940659761428833, Y : -57.65101623535156
X : -2.4373350143432617, Y : -57.63230514526367
X : -1.9329122304916382, Y : -57.61588668823242
X : -1.4247530698776245, Y : -57.59730911254883
X : -0.9137412905693054, Y : -57.585174560546875
X : -0.4021836519241333, Y : -57.578147888183594
X : 0.1130351647734642, Y : -57.56959915161133
X : 0.6312349438667297, Y : -57.5621337890625
X : 1.1530964374542236, Y : -57.54673767089844
X : 1.678510069847107, Y : -57.53327941894531
X : 2.20870041847229, Y : -57.516326904296875
X : 2.743743896484375, Y : -57.49459457397461
X : 3.2843525409698486, Y : -57.471824645996094
X : 3.8325021266937256, Y : -57.45735549926758
X : 4.388091087341309, Y : -57.44842529296875
X : 4.954896926879883, Y : -57.447669982910156
X : 5.545126914978027, Y : -57.4538459777832
X : 6.170756816864014, Y : -57.46119689941406
X : 6.834975242614746, Y : -57.46213912963867
X : 7.52715539932251, Y : -57.4619026184082
X : 8.246881484985352, Y : -57.45246505737305
X : 8.985503196716309, Y : -57.43208312988281
X : 9.724130630493164, Y : -57.408626556396484
X : 10.450227737426758, Y : -57.392093658447266
X : 11.158051490783691, Y : -57.377498626708984
X : 11.845105171203613, Y : -57.362449645996094
X : 12.510380744934082, Y : -57.34803771972656
X : 13.153620719909668, Y : -57.336551666259766
X : 13.774944305419922, Y : -57.32789611816406
X : 14.374638557434082, Y : -57.32172775268555
X : 14.953083038330078, Y : -57.31721878051758
X : 15.510153770446777, Y : -57.319271087646484
X : 16.045658111572266, Y : -57.32730484008789
X : 16.559974670410156, Y : -57.33088684082031
X : 17.060373306274414, Y : -57.336181640625
X : 17.56009292602539, Y : -57.34419250488281
X : 18.059072494506836, Y : -57.34239196777344
X : 18.559818267822266, Y : -57.33313751220703
X : 19.0588321685791, Y : -57.32727813720703
X : 19.549673080444336, Y : -57.31401824951172
X : 20.026424407958984, Y : -57.296409606933594
X : 20.48832893371582, Y : -57.28119659423828
X : 20.935773849487305, Y : -57.275062561035156
X : 21.368940353393555, Y : -57.27100372314453
X : 21.789470672607422, Y : -57.2679443359375
X : 22.198848724365234, Y : -57.26900100708008
X : 22.596879959106445, Y : -57.27171325683594
X : 22.98305320739746, Y : -57.27832794189453
X : 23.356815338134766, Y : -57.28607940673828
X : 23.718191146850586, Y : -57.29106140136719
X : 24.06889533996582, Y : -57.29431915283203
X : 24.410919189453125, Y : -57.29322814941406
X : 24.746095657348633, Y : -57.29051208496094
X : 25.075040817260742, Y : -57.288108825683594
X : 25.397401809692383, Y : -57.28899383544922
