X : -31.0, Y : -57.69999694824219
X : -30.994482040405273, Y : -57.70005798339844
X : -30.927738189697266, Y : -57.70075988769531
X : -30.80427360534668, Y : -57.70199203491211
X : -30.627288818359375, Y : -57.70375061035156
X : -30.41829490661621, Y : -57.705692291259766
X : -30.193233489990234, Y : -57.70267105102539
X : -29.931859970092773, Y : -57.69625473022461
X : -29.651561737060547, Y : -57.68914031982422
X : -29.360206604003906, Y : -57.68193817138672
X : -29.052961349487305, Y : -57.67456817626953
X : -28.73729133605957, Y : -57.67013931274414
X : -28.403505325317383, Y : -57.66745376586914
X : -28.055959701538086, Y : -57.66508102416992
X : -27.714181900024414, Y : -57.662776947021484
X : -27.362375259399414, Y : -57.66375732421875
X : -26.993316650390625, Y : -57.66709518432617
X : -26.635013580322266, Y : -57.67072677612305
X : -26.28002166748047, Y : -57.67147445678711
X : -25.910900115966797, Y : -57.67012023925781
X : -25.573055267333984, Y : -57.66837692260742
X : -25.204296112060547, Y : -57.663597106933594
X : -24.86353874206543, Y : -57.65753936767578
X : -24.50436782836914, Y : -57.65079879760742
X : -24.14402961730957, Y : -57.647953033447266
X : -23.805755615234375, Y : -57.6478271484375
X : -23.42654037475586, Y : -57.64698028564453
X : -23.04842185974121, Y : -57.65464782714844
X : -22.664308547973633, Y : -57.66145324707031
X : -22.25960922241211, Y : -57.67011260986328
X : -21.879709243774414, Y : -57.67889404296875
X : -21.475780487060547, Y : -57.686370849609375
X : -21.04561996459961, Y : -57.69233703613281
X : -20.627443313598633, Y : -57.69624328613281
X : -20.200023651123047, Y : -57.70064926147461
X : -19.779369354248047, Y : -57.7015266418457
X : -19.363794326782227, Y : -57.70000457763672
X : -18.954505920410156, Y : -57.69720458984375
X : -18.54494857788086, Y : -57.69386672973633
X : -18.14313316345215, Y : -57.690399169921875
X : -17.72705078125, Y : -57.686561584472656
X : -17.340614318847656, Y : -57.68285369873047
X : -16.9481201171875, Y : -57.67905807495117
X : -16.537086486816406, Y : -57.673587799072266
X : -16.14659881591797, Y : -57.66699981689453
X : -15.753840446472168, Y : -57.65970993041992
X : -15.36982536315918, Y : -57.65320587158203
X : -14.99508285522461, Y : -57.647640228271484
X : -14.600077629089355, Y : -57.64224624633789
X : -14.216715812683105, Y : -57.640350341796875
X : -13.863545417785645, Y : -57.64078140258789
X : -13.509410858154297, Y : -57.64196014404297
X : -13.154274940490723, Y : -57.64181137084961
X : -12.804102897644043, Y : -57.64059066772461
X : -12.45528793334961, Y : -57.63901901245117
X : -12.079147338867188, Y : -57.6320686340332
X : -11.704574584960938, Y : -57.62178039550781
X : -11.351240158081055, Y : -57.61098861694336
X : -10.95097541809082, Y : -57.596282958984375
X : -10.563840866088867, Y : -57.58050537109375
X : -10.169258117675781, Y : -57.563968658447266
X : -9.764877319335938, Y : -57.54690170288086
X : -9.386930465698242, Y : -57.53309631347656
X : -8.991484642028809, Y : -57.52082443237305
X : -8.605866432189941, Y : -57.50990295410156
X : -8.219128608703613, Y : -57.500877380371094
X : -7.846985816955566, Y : -57.49363708496094
X : -7.434586048126221, Y : -57.48749542236328
X : -7.058661937713623, Y : -57.48305892944336
X : -6.671853542327881, Y : -57.478885650634766
X : -6.287615776062012, Y : -57.47494125366211
X : -5.910784721374512, Y : -57.47103500366211
X : -5.547778129577637, Y : -57.46730041503906
X : -5.162975311279297, Y : -57.4639778137207
X : -4.808855056762695, Y : -57.4611701965332
X : -4.446450233459473, Y : -57.4584846496582
X : -4.10500955581665, Y : -57.45713806152344
X : -3.7569124698638916, Y : -57.45665740966797
X : -3.4060893058776855, Y : -57.45637512207031
X : -3.0177462100982666, Y : -57.45491027832031
X : -2.6428518295288086, Y : -57.45268249511719
X : -2.296386957168579, Y : -57.45047378540039
X : -1.9495011568069458, Y : -57.44817352294922
X : -1.5856058597564697, Y : -57.44393539428711
X : -1.2238447666168213, Y : -57.43803024291992
X : -0.8381399512290955, Y : -57.4307861328125
X : -0.4627752900123596, Y : -57.42500686645508
X : -0.10341601818799973, Y : -57.42055892944336
X : 0.2639877498149872, Y : -57.417030334472656
X : 0.6441450119018555, Y : -57.41378402709961
X : 1.0096465349197388, Y : -57.41099548339844
X : 1.3600056171417236, Y : -57.40830993652344
X : 1.7145425081253052, Y : -57.40606689453125
X : 2.1034841537475586, Y : -57.404178619384766
