X : -31.0, Y : -57.69999694824219
X : -30.98577880859375, Y : -57.70016098022461
X : -30.86383628845215, Y : -57.701839447021484
X : -30.66013526916504, Y : -57.70442581176758
X : -30.401214599609375, Y : -57.70712661743164
X : -30.095638275146484, Y : -57.7099609375
X : -29.751440048217773, Y : -57.71261215209961
X : -29.375333786010742, Y : -57.71518325805664
X : -28.975080490112305, Y : -57.71685791015625
X : -28.554582595825195, Y : -57.71762466430664
X : -28.117177963256836, Y : -57.717811584472656
X : -27.67418098449707, Y : -57.7178840637207
X : -27.20981788635254, Y : -57.7176513671875
X : -26.73115348815918, Y : -57.71704864501953
X : -26.237506866455078, Y : -57.71614074707031
X : -25.73357391357422, Y : -57.71491622924805
X : -25.23148536682129, Y : -57.71368408203125
X : -24.731863021850586, Y : -57.71249008178711
X : -24.23360824584961, Y : -57.71117401123047
X : -23.7438907623291, Y : -57.7086067199707
X : -23.25649642944336, Y : -57.70733642578125
X : -22.76833152770996, Y : -57.70383071899414
X : -22.272916793823242, Y : -57.700340270996094
X : -21.77021026611328, Y : -57.69738006591797
X : -21.26943588256836, Y : -57.69435501098633
X : -20.769147872924805, Y : -57.69082260131836
X : -20.270238876342773, Y : -57.68782424926758
X : -19.771854400634766, Y : -57.68404006958008
X : -19.276813507080078, Y : -57.67995834350586
X : -18.781322479248047, Y : -57.67593765258789
X : -18.282407760620117, Y : -57.67182159423828
X : -17.78032684326172, Y : -57.667728424072266
X : -17.280223846435547, Y : -57.663421630859375
X : -16.78120994567871, Y : -57.6590461730957
X : -16.2840633392334, Y : -57.65470886230469
X : -15.790424346923828, Y : -57.65034484863281
X : -15.299392700195312, Y : -57.64591979980469
X : -14.808472633361816, Y : -57.64146423339844
X : -14.31484603881836, Y : -57.63692092895508
X : -13.816685676574707, Y : -57.63218688964844
X : -13.31574535369873, Y : -57.6274299621582
X : -12.81648063659668, Y : -57.622562408447266
X : -12.31812858581543, Y : -57.61777877807617
X : -11.822874069213867, Y : -57.612937927246094
X : -11.33095645904541, Y : -57.60813903808594
X : -10.840336799621582, Y : -57.603294372558594
X : -10.347907066345215, Y : -57.59842300415039
X : -9.85181999206543, Y : -57.593509674072266
X : -9.354398727416992, Y : -57.588504791259766
X : -8.85330581665039, Y : -57.58306884765625
X : -8.35379409790039, Y : -57.57746887207031
X : -7.854794979095459, Y : -57.57176208496094
X : -7.358336448669434, Y : -57.56599426269531
X : -6.864143371582031, Y : -57.56010055541992
X : -6.37049674987793, Y : -57.554115295410156
X : -5.875400066375732, Y : -57.54801940917969
X : -5.377068996429443, Y : -57.54180908203125
X : -4.876060485839844, Y : -57.535648345947266
X : -4.377167701721191, Y : -57.529296875
X : -3.8774361610412598, Y : -57.52286148071289
X : -3.377720594406128, Y : -57.51681137084961
X : -2.8783252239227295, Y : -57.511043548583984
X : -2.380488872528076, Y : -57.50533676147461
X : -1.8832032680511475, Y : -57.49971389770508
X : -1.3851876258850098, Y : -57.494110107421875
X : -0.8995463252067566, Y : -57.48866653442383
X : -0.39906996488571167, Y : -57.48305892944336
X : 0.1008799746632576, Y : -57.477542877197266
X : 0.5997185707092285, Y : -57.47209167480469
X : 1.0957618951797485, Y : -57.466732025146484
X : 1.5889074802398682, Y : -57.462303161621094
X : 2.0809438228607178, Y : -57.458499908447266
X : 2.5750808715820312, Y : -57.454925537109375
X : 3.073338747024536, Y : -57.451541900634766
X : 3.5746726989746094, Y : -57.44820022583008
X : 4.074602127075195, Y : -57.44499206542969
X : 4.574348449707031, Y : -57.441932678222656
X : 5.073644638061523, Y : -57.43905258178711
X : 5.5707550048828125, Y : -57.43629455566406
X : 6.065580368041992, Y : -57.43356704711914
X : 6.559067249298096, Y : -57.43095016479492
X : 7.053305625915527, Y : -57.42869186401367
X : 7.549831390380859, Y : -57.42679977416992
X : 8.049062728881836, Y : -57.42506408691406
X : 8.54923152923584, Y : -57.42332458496094
X : 9.047754287719727, Y : -57.421775817871094
X : 9.545669555664062, Y : -57.420345306396484
X : 10.04210090637207, Y : -57.41902160644531
X : 10.537360191345215, Y : -57.41780090332031
X : 11.033051490783691, Y : -57.41667175292969
X : 11.53122615814209, Y : -57.41556167602539
X : 12.03197193145752, Y : -57.41469192504883
X : 12.531394958496094, Y : -57.413944244384766
X : 13.03121566772461, Y : -57.413246154785156
X : 13.531203269958496, Y : -57.412620544433594
X : 14.025605201721191, Y : -57.412078857421875
X : 14.52401351928711, Y : -57.41151428222656
X : 15.021829605102539, Y : -57.41099548339844
X : 15.519754409790039, Y : -57.410526275634766
X : 16.018207550048828, Y : -57.41006088256836
X : 16.51723861694336, Y : -57.409637451171875
X : 17.01590347290039, Y : -57.40933609008789
X : 17.513246536254883, Y : -57.40911102294922
X : 18.00943374633789, Y : -57.40888977050781
X : 18.505828857421875, Y : -57.408695220947266
X : 19.0032901763916, Y : -57.40853500366211
X : 19.501916885375977, Y : -57.40836715698242
X : 20.001251220703125, Y : -57.40821075439453
X : 20.500629425048828, Y : -57.40808868408203
X : 20.999601364135742, Y : -57.40802001953125
X : 21.49794578552246, Y : -57.407958984375
X : 21.99523162841797, Y : -57.407894134521484
X : 22.491323471069336, Y : -57.40789794921875
X : 22.986968994140625, Y : -57.40791320800781
X : 23.483259201049805, Y : -57.40795135498047
X : 23.980209350585938, Y : -57.407997131347656
X : 24.477680206298828, Y : -57.40803527832031
X : 24.97542953491211, Y : -57.4080810546875
X : 25.472742080688477, Y : -57.40812301635742
X : 25.964324951171875, Y : -57.408203125
X : 26.460041046142578, Y : -57.40829086303711
X : 26.955322265625, Y : -57.408382415771484
X : 27.45166778564453, Y : -57.408485412597656
X : 27.94971466064453, Y : -57.408573150634766
X : 28.448871612548828, Y : -57.40867233276367
X : 28.948183059692383, Y : -57.40876388549805
X : 29.446264266967773, Y : -57.40888595581055
X : 29.942657470703125, Y : -57.4090576171875
X : 30.437484741210938, Y : -57.40920639038086
X : 30.930721282958984, Y : -57.40935516357422
X : 31.426000595092773, Y : -57.40950012207031
X : 31.92245864868164, Y : -57.40964889526367
X : 32.419036865234375, Y : -57.409793853759766
X : 32.915313720703125, Y : -57.40993881225586
X : 33.411312103271484, Y : -57.41006851196289
X : 33.906455993652344, Y : -57.41020965576172
X : 34.400787353515625, Y : -57.41035079956055
X : 34.895774841308594, Y : -57.41049575805664
X : 35.3922004699707, Y : -57.41063690185547
X : 35.890586853027344, Y : -57.410823822021484
X : 36.38145065307617, Y : -57.411048889160156
X : 36.88096237182617, Y : -57.41128158569336
X : 37.37646484375, Y : -57.41148376464844
X : 37.87471008300781, Y : -57.411678314208984
X : 38.37205505371094, Y : -57.41187286376953
X : 38.86711883544922, Y : -57.41206359863281
X : 39.36396408081055, Y : -57.41230392456055
X : 39.86098861694336, Y : -57.41254425048828
X : 40.35825729370117, Y : -57.41273880004883
X : 40.855506896972656, Y : -57.412933349609375
X : 41.35260772705078, Y : -57.41317367553711
X : 41.84992218017578, Y : -57.41341781616211
X : 42.34746170043945, Y : -57.413612365722656
X : 42.84490966796875, Y : -57.41382598876953
X : 43.341678619384766, Y : -57.41407012939453
X : 43.83790969848633, Y : -57.41426467895508
X : 44.33391189575195, Y : -57.41446304321289
X : 44.830204010009766, Y : -57.41469955444336
X : 45.326942443847656, Y : -57.41494369506836
X : 45.82411193847656, Y : -57.41514587402344
X : 46.32158279418945, Y : -57.41537094116211
X : 46.81801986694336, Y : -57.415618896484375
X : 47.314002990722656, Y : -57.41592788696289
X : 47.80936813354492, Y : -57.41613006591797
X : 48.30440902709961, Y : -57.41630554199219
X : 48.799842834472656, Y : -57.41653060913086
X : 49.29574966430664, Y : -57.41671371459961
X : 49.79183578491211, Y : -57.416873931884766
X : 50.28787612915039, Y : -57.41709518432617
X : 50.782737731933594, Y : -57.417327880859375
X : 51.27846908569336, Y : -57.41756820678711
X : 51.760623931884766, Y : -57.41777038574219
X : 52.25094223022461, Y : -57.41797637939453
X : 52.736839294433594, Y : -57.41817855834961
X : 53.23720932006836, Y : -57.41837692260742
X : 53.73652267456055, Y : -57.41858673095703
X : 54.23432540893555, Y : -57.41883087158203
X : 54.72407913208008, Y : -57.41903305053711
X : 55.21729278564453, Y : -57.41923141479492
X : 55.709632873535156, Y : -57.41943359375
X : 56.20282745361328, Y : -57.41963195800781
X : 56.69203567504883, Y : -57.41896057128906
X : 57.190277099609375, Y : -57.41777801513672
X : 57.690555572509766, Y : -57.41627502441406
X : 58.1854248046875, Y : -57.41447067260742
X : 58.683372497558594, Y : -57.412322998046875
X : 59.171630859375, Y : -57.40994644165039
X : 59.66352462768555, Y : -57.40750503540039
X : 60.1574592590332, Y : -57.40491485595703
X : 60.64666748046875, Y : -57.40217590332031
X : 61.1240234375, Y : -57.39936828613281
X : 61.62094497680664, Y : -57.3957405090332
X : 62.105072021484375, Y : -57.38866424560547
X : 62.58856964111328, Y : -57.379676818847656
X : 63.0841178894043, Y : -57.36707305908203
X : 63.57857894897461, Y : -57.35011291503906
X : 64.06201171875, Y : -57.32971954345703
X : 64.54072570800781, Y : -57.306541442871094
X : 65.0314712524414, Y : -57.28191375732422
X : 65.519287109375, Y : -57.25576400756836
X : 66.0142822265625, Y : -57.22688674926758
X : 66.50820922851562, Y : -57.19329071044922
X : 67.00081634521484, Y : -57.15765380859375
X : 67.4917984008789, Y : -57.11505126953125
X : 67.98277282714844, Y : -57.06447982788086
X : 68.47509765625, Y : -57.00619125366211
X : 68.96878051757812, Y : -56.94115447998047
X : 69.46247100830078, Y : -56.87141799926758
X : 69.95460510253906, Y : -56.79768753051758
X : 70.44520568847656, Y : -56.7230224609375
X : 70.93318939208984, Y : -56.64314270019531
X : 71.4171142578125, Y : -56.553226470947266
X : 71.8982925415039, Y : -56.45302200317383
X : 72.38082122802734, Y : -56.34880065917969
X : 72.86470794677734, Y : -56.23796844482422
X : 73.34944915771484, Y : -56.119598388671875
X : 73.83403778076172, Y : -55.99420928955078
X : 74.31584930419922, Y : -55.86399459838867
X : 74.79280090332031, Y : -55.721649169921875
X : 75.26551818847656, Y : -55.57453155517578
X : 75.73400115966797, Y : -55.422142028808594
X : 76.201171875, Y : -55.26737594604492
X : 76.66665649414062, Y : -55.1057014465332
X : 77.13115692138672, Y : -54.93415451049805
X : 77.59564971923828, Y : -54.75386047363281
X : 78.06112670898438, Y : -54.57054138183594
X : 78.52396392822266, Y : -54.38444519042969
X : 78.96796417236328, Y : -54.19966125488281
X : 79.42082977294922, Y : -53.999080657958984
X : 79.859130859375, Y : -53.79168701171875
X : 80.30073547363281, Y : -53.57241439819336
X : 80.73909759521484, Y : -53.34560775756836
X : 81.18136596679688, Y : -53.113948822021484
X : 81.60072326660156, Y : -52.8892707824707
X : 82.03677368164062, Y : -52.647743225097656
X : 82.46906280517578, Y : -52.39892578125
X : 82.88753509521484, Y : -52.15497589111328
X : 83.28545379638672, Y : -51.90584182739258
X : 83.69285583496094, Y : -51.64183044433594
X : 84.10202026367188, Y : -51.37006378173828
X : 84.5047378540039, Y : -51.08199691772461
X : 84.90266418457031, Y : -50.79389953613281
X : 85.31085968017578, Y : -50.504486083984375
X : 85.70591735839844, Y : -50.22007751464844
X : 86.1021957397461, Y : -49.92393493652344
X : 86.48768615722656, Y : -49.620018005371094
X : 86.86817932128906, Y : -49.31282043457031
X : 87.24375915527344, Y : -48.9989013671875
X : 87.61453247070312, Y : -48.67487335205078
X : 87.9830322265625, Y : -48.34032440185547
X : 88.34874725341797, Y : -47.99847412109375
X : 88.71226501464844, Y : -47.65584182739258
X : 89.06343841552734, Y : -47.305213928222656
X : 89.395263671875, Y : -46.97349548339844
X : 89.73947143554688, Y : -46.62584686279297
X : 90.06742858886719, Y : -46.279510498046875
X : 90.4015121459961, Y : -45.91973114013672
X : 90.72731018066406, Y : -45.559574127197266
X : 91.05626678466797, Y : -45.18295669555664
X : 91.38023376464844, Y : -44.80025863647461
X : 91.69015502929688, Y : -44.423744201660156
X : 91.99188232421875, Y : -44.047733306884766
X : 92.29548645019531, Y : -43.655418395996094
X : 92.5880355834961, Y : -43.25816345214844
X : 92.87682342529297, Y : -42.85786437988281
X : 93.16085052490234, Y : -42.45167541503906
X : 93.4390640258789, Y : -42.0369758605957
X : 93.70100402832031, Y : -41.632259368896484
X : 93.9648208618164, Y : -41.211669921875
X : 94.22380828857422, Y : -40.79479217529297
X : 94.47217559814453, Y : -40.3695068359375
X : 94.71803283691406, Y : -39.94582748413086
X : 94.95970153808594, Y : -39.51966857910156
