X : -46.0, Y : -57.69999694824219
X : -45.984619140625, Y : -57.70001983642578
X : -45.86989212036133, Y : -57.69983673095703
X : -45.686614990234375, Y : -57.69920349121094
X : -45.45595169067383, Y : -57.69932556152344
X : -45.18220901489258, Y : -57.69831466674805
X : -44.878177642822266, Y : -57.696834564208984
X : -44.53667068481445, Y : -57.69498825073242
X : -44.16270446777344, Y : -57.69276809692383
X : -43.756187438964844, Y : -57.690189361572266
X : -43.321937561035156, Y : -57.687225341796875
X : -42.86787414550781, Y : -57.684173583984375
X : -42.40091323852539, Y : -57.68109893798828
X : -41.92420196533203, Y : -57.677581787109375
X : -41.44332504272461, Y : -57.67325973510742
X : -40.948787689208984, Y : -57.66838073730469
X : -40.441158294677734, Y : -57.662986755371094
X : -39.93577575683594, Y : -57.6575927734375
X : -39.42647171020508, Y : -57.65224838256836
X : -38.90707015991211, Y : -57.64680099487305
X : -38.37712097167969, Y : -57.641082763671875
X : -37.83804702758789, Y : -57.63517379760742
X : -37.2912483215332, Y : -57.63308334350586
X : -36.73585510253906, Y : -57.63109588623047
X : -36.169952392578125, Y : -57.63053894042969
X : -35.5931282043457, Y : -57.629817962646484
X : -35.00284957885742, Y : -57.62825393676758
X : -34.399044036865234, Y : -57.628074645996094
X : -33.78411102294922, Y : -57.627933502197266
X : -33.16093826293945, Y : -57.62823486328125
X : -32.52984619140625, Y : -57.62852096557617
X : -31.890775680541992, Y : -57.628475189208984
X : -31.242576599121094, Y : -57.62871551513672
X : -30.58456039428711, Y : -57.62892532348633
X : -29.913244247436523, Y : -57.62886047363281
X : -29.227460861206055, Y : -57.62864685058594
X : -28.529396057128906, Y : -57.628387451171875
X : -27.822555541992188, Y : -57.62797546386719
X : -27.10904884338379, Y : -57.627410888671875
X : -26.389745712280273, Y : -57.62675476074219
X : -25.663366317749023, Y : -57.625999450683594
X : -24.92865753173828, Y : -57.625144958496094
X : -24.19579315185547, Y : -57.624061584472656
X : -23.47875213623047, Y : -57.62104797363281
X : -22.77613067626953, Y : -57.622215270996094
X : -22.092947006225586, Y : -57.619667053222656
X : -21.431543350219727, Y : -57.61698532104492
X : -20.79297637939453, Y : -57.614280700683594
X : -20.179851531982422, Y : -57.61198425292969
X : -19.58786964416504, Y : -57.60912322998047
X : -19.016618728637695, Y : -57.60618209838867
X : -18.465187072753906, Y : -57.60292053222656
X : -17.931867599487305, Y : -57.59891891479492
X : -17.415828704833984, Y : -57.59444808959961
X : -16.91454315185547, Y : -57.589202880859375
X : -16.417640686035156, Y : -57.58359146118164
X : -15.930578231811523, Y : -57.57817077636719
X : -15.4573335647583, Y : -57.574951171875
X : -14.999335289001465, Y : -57.57276153564453
X : -14.555917739868164, Y : -57.56978988647461
X : -14.135762214660645, Y : -57.56663131713867
X : -13.713878631591797, Y : -57.5634651184082
X : -13.302515983581543, Y : -57.56033706665039
X : -12.902965545654297, Y : -57.557376861572266
X : -12.516140937805176, Y : -57.5545539855957
X : -12.14166259765625, Y : -57.55251693725586
X : -11.777702331542969, Y : -57.55093765258789
X : -11.421313285827637, Y : -57.54949188232422
X : -11.070561408996582, Y : -57.548152923583984
X : -10.723516464233398, Y : -57.54608154296875
X : -10.372368812561035, Y : -57.54364776611328
X : -10.01392936706543, Y : -57.54156494140625
X : -9.657902717590332, Y : -57.53968048095703
X : -9.310580253601074, Y : -57.53791427612305
X : -8.973237991333008, Y : -57.53619384765625
X : -8.64443302154541, Y : -57.53409194946289
X : -8.313461303710938, Y : -57.53240966796875
X : -7.969482421875, Y : -57.53102111816406
X : -7.608248710632324, Y : -57.529632568359375
X : -7.229663372039795, Y : -57.52822494506836
X : -6.835673809051514, Y : -57.52665328979492
X : -6.4272284507751465, Y : -57.52500534057617
X : -6.004968166351318, Y : -57.52338790893555
X : -5.568662643432617, Y : -57.52177047729492
X : -5.1168212890625, Y : -57.520198822021484
X : -4.64753532409668, Y : -57.51856994628906
X : -4.1607208251953125, Y : -57.517024993896484
X : -3.6577322483062744, Y : -57.51570129394531
X : -3.151127576828003, Y : -57.51454544067383
X : -2.642517566680908, Y : -57.51352310180664
X : -2.141289234161377, Y : -57.51253128051758
X : -1.6336703300476074, Y : -57.511497497558594
X : -1.120557427406311, Y : -57.51051330566406
X : -0.5987414121627808, Y : -57.50954818725586
