epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,203.937,1.13918,0.8535,0.84558,0.93993,0.98235,0.9848,0.50407,1.35146,0.6818,0.82374,0.000848969,0.000848969,0.000848969
43,208.785,1.145,0.80703,0.8284,0.9478,0.91688,0.99094,0.493,1.41856,0.70188,0.82084,0.000834822,0.000834822,0.000834822
44,213.5,1.10733,0.85013,0.82834,0.92078,0.9389,0.995,0.54161,1.16086,0.60582,0.81348,0.000820675,0.000820675,0.000820675
45,218.582,1.11367,0.84418,0.84208,0.95865,0.96667,0.99147,0.53112,1.33027,0.85464,0.80808,0.000806528,0.000806528,0.000806528
46,223.791,1.13733,0.84543,0.82495,0.8789,0.94444,0.90799,0.48814,1.26043,0.6454,0.81992,0.00079238,0.00079238,0.00079238
47,229.158,1.02525,0.80664,0.76559,0.87021,1,0.99094,0.51538,1.37418,0.67007,0.82631,0.000778233,0.000778233,0.000778233
48,234.532,1.16526,0.80137,0.83768,0.88159,0.9474,0.995,0.54163,1.2588,0.66821,0.81363,0.000764086,0.000764086,0.000764086
49,239.663,1.17024,0.79875,0.84281,0.86907,0.924,0.98875,0.55949,1.12802,0.64755,0.80926,0.000749939,0.000749939,0.000749939
50,244.858,1.09419,0.7692,0.84031,0.86407,0.94444,0.97875,0.57815,1.16103,0.66259,0.79639,0.000735792,0.000735792,0.000735792
51,250.252,1.13509,0.75853,0.82625,0.952,1,0.99094,0.66357,1.05934,0.58256,0.80529,0.000721645,0.000721645,0.000721645
52,255.546,1.17057,0.84909,0.80597,0.95378,1,0.98875,0.56463,1.19842,0.59231,0.81898,0.000707498,0.000707498,0.000707498
53,260.329,1.03009,0.74112,0.81025,0.83063,1,0.96458,0.53042,1.26084,0.62619,0.82888,0.000693351,0.000693351,0.000693351
54,264.984,1.09263,0.74671,0.83403,0.88183,1,0.98875,0.60663,1.12096,0.67806,0.81342,0.000679204,0.000679204,0.000679204
55,269.617,1.18476,0.78925,0.82392,0.93632,0.93556,0.98875,0.57494,1.16323,0.62885,0.81963,0.000665057,0.000665057,0.000665057
56,274.194,1.03499,0.70788,0.83253,0.92396,1,0.995,0.58569,1.18857,0.60757,0.82094,0.000650909,0.000650909,0.000650909
57,278.805,0.99231,0.71354,0.83005,0.92214,1,0.98875,0.58054,1.12799,0.61412,0.81237,0.000636762,0.000636762,0.000636762
58,283.453,1.02259,0.73036,0.835,0.95279,0.97179,0.98875,0.63065,1.03679,0.61575,0.81292,0.000622615,0.000622615,0.000622615
59,288.049,1.03568,0.68951,0.80628,0.95158,1,0.99094,0.53884,1.22509,0.61195,0.8238,0.000608468,0.000608468,0.000608468
60,292.705,1.05748,0.71452,0.83115,0.93234,1,0.99094,0.63439,1.09002,0.60284,0.81107,0.000594321,0.000594321,0.000594321
61,297.294,1.00797,0.71696,0.82876,0.93172,1,0.99313,0.65265,0.97767,0.57798,0.81669,0.000580174,0.000580174,0.000580174
