X : -31.0, Y : -57.69999694824219
X : -30.99305534362793, Y : -57.70008087158203
X : -30.873836517333984, Y : -57.70162582397461
X : -30.657907485961914, Y : -57.704368591308594
X : -30.379417419433594, Y : -57.70732116699219
X : -30.053695678710938, Y : -57.71031188964844
X : -29.694122314453125, Y : -57.713035583496094
X : -29.308210372924805, Y : -57.71563720703125
X : -28.90254020690918, Y : -57.71728515625
X : -28.479557037353516, Y : -57.717987060546875
X : -28.041357040405273, Y : -57.71810531616211
X : -27.589372634887695, Y : -57.718109130859375
X : -27.125158309936523, Y : -57.71780014038086
X : -26.646730422973633, Y : -57.71713638305664
X : -26.153305053710938, Y : -57.7161750793457
X : -25.64954948425293, Y : -57.714900970458984
X : -25.14763069152832, Y : -57.71361541748047
X : -24.648372650146484, Y : -57.71241760253906
X : -24.149974822998047, Y : -57.71104049682617
X : -23.65636444091797, Y : -57.70805358886719
X : -23.16891860961914, Y : -57.70724868774414
X : -22.67985725402832, Y : -57.70353317260742
X : -22.183900833129883, Y : -57.70005798339844
X : -21.68159294128418, Y : -57.69697189331055
X : -21.180204391479492, Y : -57.69368362426758
X : -20.681129455566406, Y : -57.6898078918457
X : -20.183116912841797, Y : -57.68745803833008
X : -19.684343338012695, Y : -57.68324279785156
X : -19.185144424438477, Y : -57.6791877746582
X : -18.684547424316406, Y : -57.67506790161133
X : -18.184833526611328, Y : -57.67086410522461
X : -17.685400009155273, Y : -57.66664123535156
X : -17.18531036376953, Y : -57.66233825683594
X : -16.713964462280273, Y : -57.65825653076172
X : -16.26976776123047, Y : -57.65437698364258
X : -15.832987785339355, Y : -57.65054702758789
X : -15.400835990905762, Y : -57.64669418334961
