X : -31.0, Y : -57.69999694824219
X : -30.985170364379883, Y : -57.700164794921875
X : -30.65536880493164, Y : -57.70488739013672
X : -30.09470558166504, Y : -57.712337493896484
X : -29.38594627380371, Y : -57.71923828125
X : -28.16859245300293, Y : -57.72594451904297
X : -27.29404067993164, Y : -57.72684860229492
X : -25.9141788482666, Y : -57.71969985961914
X : -24.94023323059082, Y : -57.711708068847656
X : -23.932355880737305, Y : -57.70640563964844
X : -22.437519073486328, Y : -57.70370101928711
X : -21.463592529296875, Y : -57.70130157470703
X : -20.496257781982422, Y : -57.69386291503906
X : -19.0191650390625, Y : -57.67931365966797
X : -18.037879943847656, Y : -57.66926574707031
X : -16.558305740356445, Y : -57.656517028808594
X : -15.554102897644043, Y : -57.64902114868164
X : -14.054888725280762, Y : -57.63697814941406
X : -13.061999320983887, Y : -57.627601623535156
X : -12.069761276245117, Y : -57.61659240722656
X : -11.072178840637207, Y : -57.60539245605469
X : -9.593143463134766, Y : -57.590213775634766
X : -8.612003326416016, Y : -57.58069610595703
X : -7.61872673034668, Y : -57.57111358642578
X : -6.618560791015625, Y : -57.5596809387207
X : -5.130160331726074, Y : -57.53994369506836
X : -4.1403679847717285, Y : -57.52654266357422
X : -2.6468005180358887, Y : -57.50692367553711
X : -1.6484496593475342, Y : -57.49502944946289
X : -0.15896075963974, Y : -57.47963333129883
X : 0.8358801007270813, Y : -57.46955490112305
X : 1.834652304649353, Y : -57.458919525146484
X : 3.32059645652771, Y : -57.44669723510742
X : 4.3055620193481445, Y : -57.44076156616211
X : 5.298750400543213, Y : -57.43606185913086
X : 6.295553684234619, Y : -57.43178939819336
X : 7.777180194854736, Y : -57.424964904785156
X : 8.760770797729492, Y : -57.42082214355469
X : 10.25642204284668, Y : -57.41671371459961
X : 11.255597114562988, Y : -57.414974212646484
X : 12.253536224365234, Y : -57.41358184814453
X : 13.251269340515137, Y : -57.412288665771484
X : 14.751482963562012, Y : -57.41065979003906
X : 15.750782012939453, Y : -57.40983581542969
X : 16.74744415283203, Y : -57.40913391113281
X : 17.743589401245117, Y : -57.408485412597656
X : 18.737035751342773, Y : -57.40816116333008
X : 19.72768783569336, Y : -57.40796661376953
X : 21.221858978271484, Y : -57.40791702270508
X : 22.222070693969727, Y : -57.4078369140625
X : 23.71815299987793, Y : -57.40754318237305
X : 24.21420669555664, Y : -57.40749740600586
X : 25.702110290527344, Y : -57.40801239013672
X : 26.69643783569336, Y : -57.40834426879883
X : 28.182897567749023, Y : -57.4086799621582
X : 29.671024322509766, Y : -57.40898132324219
X : 30.67093849182129, Y : -57.40919494628906
X : 32.167423248291016, Y : -57.409568786621094
X : 33.16150665283203, Y : -57.409915924072266
X : 34.157958984375, Y : -57.410301208496094
X : 35.6479606628418, Y : -57.41075134277344
X : 36.63670349121094, Y : -57.41104507446289
X : 37.62958526611328, Y : -57.41142272949219
X : 39.125160217285156, Y : -57.41219711303711
X : 40.61933135986328, Y : -57.41293716430664
X : 41.61485290527344, Y : -57.41336441040039
X : 42.60984802246094, Y : -57.41376876831055
X : 43.603485107421875, Y : -57.41416549682617
X : 45.094451904296875, Y : -57.41474914550781
X : 46.58332061767578, Y : -57.415462493896484
X : 47.57494354248047, Y : -57.41593933105469
X : 49.06406784057617, Y : -57.41667938232422
X : 50.05671691894531, Y : -57.41707229614258
X : 51.050575256347656, Y : -57.417396545410156
X : 52.53966522216797, Y : -57.41790008544922
X : 54.02848434448242, Y : -57.418724060058594
X : 55.02473068237305, Y : -57.419227600097656
X : 56.51176071166992, Y : -57.41985321044922
X : 57.49236297607422, Y : -57.42018508911133
X : 58.978759765625, Y : -57.41563034057617
X : 60.47665023803711, Y : -57.40673828125
X : 61.95631790161133, Y : -57.39406967163086
X : 62.93876647949219, Y : -57.38643264770508
X : 64.42080688476562, Y : -57.354736328125
X : 65.40911102294922, Y : -57.3085823059082
X : 66.89218139648438, Y : -57.194114685058594
X : 67.8817367553711, Y : -57.11167907714844
X : 69.36097717285156, Y : -56.94990158081055
X : 70.3480453491211, Y : -56.81291961669922
X : 71.81881713867188, Y : -56.54241180419922
X : 73.26376342773438, Y : -56.23762512207031
X : 74.21161651611328, Y : -56.00044631958008
X : 75.1546859741211, Y : -55.7127571105957
X : 76.0953140258789, Y : -55.39491271972656
X : 77.02540588378906, Y : -55.054725646972656
X : 78.3978271484375, Y : -54.495262145996094
X : 79.31835174560547, Y : -54.10394287109375
X : 80.68025970458984, Y : -53.48351287841797
X : 81.56024932861328, Y : -53.037513732910156
X : 83.25959777832031, Y : -51.99673843383789
X : 84.10392761230469, Y : -51.456336975097656
X : 84.93206787109375, Y : -50.89842224121094
X : 86.10271453857422, Y : -49.95759582519531
X : 87.27066040039062, Y : -49.01414489746094
X : 88.04519653320312, Y : -48.38199996948242
X : 88.78958129882812, Y : -47.71449661254883
X : 89.83699798583984, Y : -46.642391204833984
X : 90.48668670654297, Y : -45.897216796875
X : 91.43851470947266, Y : -44.77403259277344
X : 92.07781982421875, Y : -44.006195068359375
X : 93.01531982421875, Y : -42.83406066894531
X : 93.8888168334961, Y : -41.62595748901367
X : 94.40776062011719, Y : -40.79553985595703
X : 94.87104034423828, Y : -39.92524719238281
X : 95.45903778076172, Y : -38.58409118652344
X : 95.86336517333984, Y : -37.699440002441406
X : 96.31285095214844, Y : -36.81881332397461
X : 96.52910614013672, Y : -36.369873046875
X : 97.11276245117188, Y : -35.00566101074219
X : 97.47532653808594, Y : -34.09817123413086
X : 97.76811218261719, Y : -33.170433044433594
X : 98.12368774414062, Y : -31.727367401123047
X : 98.34909057617188, Y : -30.76124382019043
X : 98.54429626464844, Y : -29.796770095825195
X : 98.71971130371094, Y : -28.812828063964844
X : 98.80012512207031, Y : -28.319643020629883
X : 98.99889373779297, Y : -26.847843170166016
X : 99.1722640991211, Y : -25.405595779418945
X : 99.25743865966797, Y : -24.433629989624023
X : 99.3048095703125, Y : -23.443876266479492
X : 99.33335876464844, Y : -21.95747947692871
X : 99.35003662109375, Y : -20.964740753173828
X : 99.37120819091797, Y : -19.968290328979492
X : 99.39640045166016, Y : -18.97641372680664
X : 99.41515350341797, Y : -17.989187240600586
X : 99.424072265625, Y : -16.501928329467773
X : 99.42483520507812, Y : -15.514620780944824
X : 99.42427825927734, Y : -14.087759971618652
X : 99.42241668701172, Y : -13.180180549621582
X : 99.42118835449219, Y : -12.286967277526855
X : 99.41999053955078, Y : -11.415655136108398
X : 99.4186019897461, Y : -10.581976890563965
X : 99.41627502441406, Y : -9.757412910461426
X : 99.4146728515625, Y : -9.345376014709473
X : 99.40615844726562, Y : -8.108518600463867
X : 99.400634765625, Y : -7.2947611808776855
X : 99.39558410644531, Y : -6.5089287757873535
X : 99.38996887207031, Y : -5.696882247924805
X : 99.3833999633789, Y : -4.820925712585449
X : 99.37605285644531, Y : -3.872690439224243
X : 99.36772155761719, Y : -2.867854356765747
X : 99.3360824584961, Y : -1.8635514974594116
X : 99.26605987548828, Y : -0.8640491962432861
X : 99.16961669921875, Y : 0.1275293380022049
X : 99.06755828857422, Y : 1.1187701225280762
X : 98.89582061767578, Y : 2.608659267425537
X : 98.75276947021484, Y : 3.5892717838287354
X : 98.52596282958984, Y : 4.537533283233643
X : 98.18151092529297, Y : 5.453695774078369
X : 97.7742691040039, Y : 6.357290744781494
X : 97.30616760253906, Y : 7.226977825164795
X : 96.74279022216797, Y : 8.017439842224121
X : 96.08346557617188, Y : 8.726837158203125
X : 95.34463500976562, Y : 9.369132041931152
X : 94.54181671142578, Y : 9.952237129211426
X : 93.699462890625, Y : 10.491744995117188
X : 92.83342742919922, Y : 10.988324165344238
X : 91.94824981689453, Y : 11.442276000976562
X : 91.03926849365234, Y : 11.843006134033203
X : 90.11226654052734, Y : 12.197427749633789
X : 89.64226531982422, Y : 12.353219985961914
X : 88.20219421386719, Y : 12.676136016845703
X : 87.22333526611328, Y : 12.861966133117676
X : 86.2372817993164, Y : 13.025041580200195
X : 85.25230407714844, Y : 13.149968147277832
X : 84.76197052001953, Y : 13.199644088745117
X : 83.77716827392578, Y : 13.261554718017578
X : 82.78703308105469, Y : 13.30549144744873
X : 81.79839324951172, Y : 13.337848663330078
X : 80.81021118164062, Y : 13.361515045166016
X : 80.31362915039062, Y : 13.371535301208496
X : 78.81983184814453, Y : 13.38670825958252
X : 78.32380676269531, Y : 13.39055061340332
X : 77.34130096435547, Y : 13.397428512573242
X : 76.36048889160156, Y : 13.400003433227539
X : 75.36796569824219, Y : 13.400473594665527
X : 74.3670654296875, Y : 13.39936637878418
X : 73.86927795410156, Y : 13.398478507995605
X : 72.87187194824219, Y : 13.395298957824707
X : 71.8739013671875, Y : 13.392108917236328
X : 70.37318420410156, Y : 13.388007164001465
X : 69.3735580444336, Y : 13.386140823364258
X : 68.37400817871094, Y : 13.380146026611328
X : 67.87328338623047, Y : 13.377819061279297
X : 66.37967681884766, Y : 13.372570037841797
X : 65.38975524902344, Y : 13.367310523986816
X : 64.40423583984375, Y : 13.36452579498291
X : 63.910400390625, Y : 13.363362312316895
X : 62.4216194152832, Y : 13.36070442199707
X : 61.42915725708008, Y : 13.35900592803955
X : 60.442440032958984, Y : 13.354741096496582
X : 59.45225524902344, Y : 13.350874900817871
X : 58.45591354370117, Y : 13.347536087036133
X : 57.46399688720703, Y : 13.344100952148438
X : 56.472225189208984, Y : 13.342042922973633
X : 55.97597122192383, Y : 13.34062385559082
X : 54.9801025390625, Y : 13.337210655212402
X : 53.98176193237305, Y : 13.333636283874512
X : 52.49076461791992, Y : 13.328716278076172
X : 50.49127960205078, Y : 13.323131561279297
X : 49.4912109375, Y : 13.320528030395508
X : 48.49123764038086, Y : 13.317976951599121
X : 47.490970611572266, Y : 13.315479278564453
X : 45.9932861328125, Y : 13.311773300170898
X : 45.000003814697266, Y : 13.308985710144043
X : 44.0038948059082, Y : 13.305925369262695
X : 43.00792694091797, Y : 13.302908897399902
X : 41.51548385620117, Y : 13.298933029174805
X : 40.51512145996094, Y : 13.296968460083008
X : 39.02048110961914, Y : 13.29476261138916
X : 38.03163146972656, Y : 13.292960166931152
X : 37.03455352783203, Y : 13.290176391601562
X : 35.5372200012207, Y : 13.284879684448242
X : 34.54892349243164, Y : 13.281485557556152
X : 33.56339645385742, Y : 13.278725624084473
X : 32.566261291503906, Y : 13.276328086853027
X : 31.56839942932129, Y : 13.273751258850098
X : 30.5806827545166, Y : 13.270865440368652
X : 29.591623306274414, Y : 13.267732620239258
X : 28.588117599487305, Y : 13.264541625976562
X : 27.58550453186035, Y : 13.261592864990234
X : 26.58591651916504, Y : 13.258914947509766
X : 25.586530685424805, Y : 13.255956649780273
X : 24.083839416503906, Y : 13.251215934753418
X : 23.083038330078125, Y : 13.248074531555176
X : 21.592695236206055, Y : 13.244855880737305
X : 20.60572624206543, Y : 13.24233341217041
X : 19.10726547241211, Y : 13.237377166748047
X : 18.114288330078125, Y : 13.233925819396973
X : 17.130462646484375, Y : 13.230788230895996
X : 15.632576942443848, Y : 13.226563453674316
X : 14.632394790649414, Y : 13.22373104095459
X : 13.633628845214844, Y : 13.221247673034668
X : 12.638010025024414, Y : 13.218481063842773
X : 11.63752555847168, Y : 13.215401649475098
X : 10.63950252532959, Y : 13.212343215942383
X : 9.651153564453125, Y : 13.209348678588867
X : 8.666998863220215, Y : 13.206564903259277
X : 7.668787479400635, Y : 13.203892707824707
X : 6.670529842376709, Y : 13.201295852661133
X : 5.182898044586182, Y : 13.197352409362793
X : 4.194210052490234, Y : 13.194733619689941
X : 3.2012832164764404, Y : 13.192081451416016
X : 1.7086944580078125, Y : 13.188077926635742
X : 0.7114521861076355, Y : 13.185412406921387
X : -0.28374019265174866, Y : 13.182761192321777
X : -1.2771772146224976, Y : 13.180123329162598
X : -2.771146774291992, Y : 13.176151275634766
X : -3.7706093788146973, Y : 13.173492431640625
X : -4.765871524810791, Y : 13.170832633972168
X : -6.251284599304199, Y : 13.16684341430664
X : -7.243072509765625, Y : 13.164191246032715
X : -8.736092567443848, Y : 13.160231590270996
X : -10.236398696899414, Y : 13.156237602233887
X : -11.235212326049805, Y : 13.153523445129395
X : -12.231402397155762, Y : 13.15089225769043
X : -13.22537612915039, Y : 13.148282051086426
X : -14.217178344726562, Y : 13.14565372467041
X : -15.705492973327637, Y : 13.141682624816895
X : -16.692453384399414, Y : 13.13903522491455
X : -18.13119888305664, Y : 13.135173797607422
X : -19.509368896484375, Y : 13.131240844726562
X : -20.40244483947754, Y : 13.12853717803955
X : -21.684999465942383, Y : 13.124673843383789
X : -22.49200439453125, Y : 13.122244834899902
X : -23.69153594970703, Y : 13.118409156799316
X : -24.492549896240234, Y : 13.112152099609375
X : -25.29527473449707, Y : 13.099506378173828
X : -26.107688903808594, Y : 13.083579063415527
X : -27.39238929748535, Y : 13.059663772583008
