X : -31.0, Y : -57.69999694824219
X : -30.978776931762695, Y : -57.70021438598633
X : -30.88743782043457, Y : -57.70119094848633
X : -30.759565353393555, Y : -57.70244598388672
X : -30.590476989746094, Y : -57.70402145385742
X : -30.38392448425293, Y : -57.70588684082031
X : -30.15146827697754, Y : -57.70247268676758
X : -29.878318786621094, Y : -57.69553756713867
X : -29.59602165222168, Y : -57.688236236572266
X : -29.298166275024414, Y : -57.68079376220703
X : -28.961584091186523, Y : -57.67265319824219
X : -28.613882064819336, Y : -57.668006896972656
X : -28.272151947021484, Y : -57.665496826171875
X : -27.91215705871582, Y : -57.663246154785156
X : -27.53880500793457, Y : -57.66443634033203
X : -27.162145614624023, Y : -57.66769027709961
X : -26.798900604248047, Y : -57.67108917236328
X : -26.413291931152344, Y : -57.67167282104492
X : -26.05319595336914, Y : -57.67035675048828
X : -25.68194007873535, Y : -57.66850280761719
X : -25.323163986206055, Y : -57.66405487060547
X : -24.945690155029297, Y : -57.65755844116211
X : -24.596431732177734, Y : -57.651214599609375
X : -24.23040771484375, Y : -57.648441314697266
X : -23.856374740600586, Y : -57.64833450317383
X : -23.477230072021484, Y : -57.64678955078125
X : -23.084497451782227, Y : -57.651092529296875
X : -22.66514015197754, Y : -57.65530776977539
X : -22.23386573791504, Y : -57.66404724121094
X : -21.815021514892578, Y : -57.674442291259766
X : -21.36910629272461, Y : -57.68368148803711
X : -20.889461517333984, Y : -57.69116973876953
X : -20.406543731689453, Y : -57.695926666259766
X : -19.936115264892578, Y : -57.701541900634766
X : -19.49566650390625, Y : -57.70227813720703
X : -19.03270149230957, Y : -57.70050811767578
X : -18.58990478515625, Y : -57.69696807861328
X : -18.14393424987793, Y : -57.692752838134766
X : -17.72098159790039, Y : -57.68844223022461
X : -17.308134078979492, Y : -57.68413543701172
X : -16.883731842041016, Y : -57.67973327636719
X : -16.446197509765625, Y : -57.67344284057617
X : -16.04592514038086, Y : -57.666351318359375
X : -15.64428424835205, Y : -57.6585578918457
X : -15.248394012451172, Y : -57.65160369873047
X : -14.84216594696045, Y : -57.64542770385742
X : -14.45044994354248, Y : -57.642234802246094
X : -14.079949378967285, Y : -57.641902923583984
X : -13.692269325256348, Y : -57.6427001953125
X : -13.314632415771484, Y : -57.642391204833984
X : -12.923357963562012, Y : -57.641014099121094
X : -12.545516014099121, Y : -57.63932800292969
X : -12.15872573852539, Y : -57.633323669433594
X : -11.763847351074219, Y : -57.62261199951172
X : -11.383184432983398, Y : -57.61078643798828
X : -10.97835922241211, Y : -57.59761428833008
X : -10.575474739074707, Y : -57.582454681396484
X : -10.14539623260498, Y : -57.56451416015625
X : -9.727473258972168, Y : -57.548583984375
X : -9.28367805480957, Y : -57.53364944458008
X : -8.870831489562988, Y : -57.52070999145508
X : -8.45264720916748, Y : -57.50955581665039
X : -8.045852661132812, Y : -57.50039291381836
X : -7.623584270477295, Y : -57.49173355102539
X : -7.232993125915527, Y : -57.48519515991211
X : -6.843058109283447, Y : -57.479949951171875
X : -6.449595928192139, Y : -57.47547149658203
X : -6.0507073402404785, Y : -57.47135925292969
