X : -31.0, Y : -57.69999694824219
X : -30.99305534362793, Y : -57.70008087158203
X : -30.873830795288086, Y : -57.70161819458008
X : -30.657699584960938, Y : -57.704349517822266
X : -30.379140853881836, Y : -57.707313537597656
X : -30.05339241027832, Y : -57.71030044555664
X : -29.693822860717773, Y : -57.71302795410156
X : -29.30792236328125, Y : -57.71562957763672
X : -28.90226936340332, Y : -57.71727752685547
X : -28.47930145263672, Y : -57.71798324584961
X : -28.041114807128906, Y : -57.71809387207031
X : -27.58913803100586, Y : -57.71809768676758
X : -27.12492561340332, Y : -57.717796325683594
X : -26.64649772644043, Y : -57.71713638305664
X : -26.153072357177734, Y : -57.7161750793457
X : -25.64931869506836, Y : -57.714900970458984
X : -25.147079467773438, Y : -57.71363830566406
X : -24.6473388671875, Y : -57.71244430541992
X : -24.14900016784668, Y : -57.711063385009766
X : -23.65556526184082, Y : -57.70808029174805
X : -23.168325424194336, Y : -57.70729064941406
X : -22.67943572998047, Y : -57.70356750488281
X : -22.183595657348633, Y : -57.70008850097656
X : -21.68136215209961, Y : -57.69699478149414
X : -21.180023193359375, Y : -57.69367980957031
X : -20.68086814880371, Y : -57.689823150634766
X : -20.181623458862305, Y : -57.68741989135742
X : -19.683252334594727, Y : -57.68321228027344
X : -19.185060501098633, Y : -57.67916488647461
X : -18.6854190826416, Y : -57.67512512207031
X : -18.184696197509766, Y : -57.67106246948242
X : -17.685388565063477, Y : -57.66681671142578
X : -17.18599510192871, Y : -57.66250228881836
X : -16.686887741088867, Y : -57.65810775756836
X : -16.18734359741211, Y : -57.65371322631836
X : -15.690009117126465, Y : -57.64930725097656
X : -15.195408821105957, Y : -57.64485549926758
X : -14.701668739318848, Y : -57.64039611816406
X : -14.206076622009277, Y : -57.6358528137207
X : -13.706682205200195, Y : -57.63111877441406
X : -13.205008506774902, Y : -57.62628936767578
X : -12.705205917358398, Y : -57.62144470214844
X : -12.206769943237305, Y : -57.616600036621094
X : -11.711983680725098, Y : -57.61178970336914
X : -11.220703125, Y : -57.607025146484375
X : -10.730667114257812, Y : -57.60219955444336
X : -10.238686561584473, Y : -57.597328186035156
X : -9.742904663085938, Y : -57.59241485595703
X : -9.243185997009277, Y : -57.5873908996582
X : -8.741700172424316, Y : -57.582176208496094
X : -8.242899894714355, Y : -57.57651901245117
X : -7.744740009307861, Y : -57.570682525634766
X : -7.248887062072754, Y : -57.56487274169922
X : -6.755051136016846, Y : -57.55896759033203
X : -6.261595249176025, Y : -57.55295944213867
X : -5.7665863037109375, Y : -57.54684066772461
X : -5.268282413482666, Y : -57.54059982299805
X : -4.767479419708252, Y : -57.53422546386719
X : -4.267373085021973, Y : -57.52786636352539
X : -3.7676429748535156, Y : -57.52146530151367
X : -3.2685861587524414, Y : -57.51545715332031
X : -2.7712674140930176, Y : -57.509735107421875
X : -2.275773525238037, Y : -57.50409698486328
X : -1.780471920967102, Y : -57.498538970947266
X : -1.283907175064087, Y : -57.492977142333984
X : -0.7855488657951355, Y : -57.48738479614258
X : -0.28539717197418213, Y : -57.481849670410156
X : 0.21427088975906372, Y : -57.476200103759766
X : 0.71243816614151, Y : -57.4708137512207
X : 1.208456039428711, Y : -57.46622085571289
X : 1.7024521827697754, Y : -57.462074279785156
X : 2.1956160068511963, Y : -57.458133697509766
X : 2.690772533416748, Y : -57.45438003540039
X : 3.189805030822754, Y : -57.45088195800781
X : 3.6915202140808105, Y : -57.44763946533203
X : 4.19133996963501, Y : -57.44457244873047
X : 4.6909050941467285, Y : -57.44155502319336
X : 5.188684463500977, Y : -57.438636779785156
X : 5.68379545211792, Y : -57.43585205078125
X : 6.177284240722656, Y : -57.43320083618164
X : 6.671411514282227, Y : -57.43087387084961
X : 7.167681694030762, Y : -57.42866897583008
X : 7.666469573974609, Y : -57.42667770385742
X : 8.167160034179688, Y : -57.42472839355469
X : 8.666769981384277, Y : -57.42317199707031
X : 9.166569709777832, Y : -57.42169189453125
X : 9.665165901184082, Y : -57.42024612426758
X : 10.161863327026367, Y : -57.41889572143555
X : 10.65717601776123, Y : -57.41764450073242
X : 11.152823448181152, Y : -57.41649627685547
X : 11.65066146850586, Y : -57.41550827026367
X : 12.1505126953125, Y : -57.41457748413086
X : 12.650534629821777, Y : -57.41389465332031
X : 13.150497436523438, Y : -57.41311264038086
X : 13.65003490447998, Y : -57.412513732910156
X : 14.148818969726562, Y : -57.4123420715332
X : 14.64544677734375, Y : -57.41147232055664
X : 15.142687797546387, Y : -57.411067962646484
X : 15.640719413757324, Y : -57.41059494018555
X : 16.1397647857666, Y : -57.41006851196289
X : 16.639495849609375, Y : -57.40960693359375
X : 17.138769149780273, Y : -57.40927505493164
X : 17.63656234741211, Y : -57.4090576171875
X : 18.133047103881836, Y : -57.40883255004883
X : 18.629627227783203, Y : -57.40863800048828
X : 19.12718963623047, Y : -57.408485412597656
X : 19.625865936279297, Y : -57.4083251953125
X : 20.125215530395508, Y : -57.40816879272461
X : 20.62459373474121, Y : -57.408050537109375
X : 21.123565673828125, Y : -57.407981872558594
X : 21.621904373168945, Y : -57.40791702270508
X : 22.119182586669922, Y : -57.407859802246094
X : 22.615270614624023, Y : -57.40786361694336
X : 23.11091423034668, Y : -57.40789794921875
X : 23.607196807861328, Y : -57.40794372558594
X : 24.104196548461914, Y : -57.407981872558594
X : 24.60186767578125, Y : -57.40802764892578
X : 25.0998477935791, Y : -57.40806579589844
X : 25.597368240356445, Y : -57.40811538696289
X : 26.094127655029297, Y : -57.40819549560547
X : 26.590349197387695, Y : -57.40828323364258
X : 27.087291717529297, Y : -57.40837860107422
X : 27.58559226989746, Y : -57.40849304199219
X : 28.0853271484375, Y : -57.40859603881836
X : 28.585329055786133, Y : -57.40865707397461
X : 29.085025787353516, Y : -57.40876770019531
X : 29.583585739135742, Y : -57.408939361572266
X : 30.08034896850586, Y : -57.40912628173828
X : 30.575424194335938, Y : -57.40925598144531
X : 31.06978416442871, Y : -57.40939712524414
X : 31.56514549255371, Y : -57.409549713134766
X : 32.0616455078125, Y : -57.40969467163086
X : 32.558372497558594, Y : -57.409847259521484
X : 33.05514907836914, Y : -57.40996551513672
X : 33.55174255371094, Y : -57.41009521484375
X : 34.04740524291992, Y : -57.410247802734375
X : 34.542118072509766, Y : -57.4103889465332
X : 35.037357330322266, Y : -57.41053009033203
X : 35.534088134765625, Y : -57.41071701049805
X : 36.0322151184082, Y : -57.41090393066406
X : 36.53125, Y : -57.41112518310547
X : 37.03041076660156, Y : -57.4113655090332
X : 37.529029846191406, Y : -57.411556243896484
X : 38.02659225463867, Y : -57.41175079345703
X : 38.523231506347656, Y : -57.41194534301758
X : 39.01960754394531, Y : -57.41213607788086
X : 39.51604080200195, Y : -57.41236877441406
X : 40.01274490356445, Y : -57.41257858276367
X : 40.50962448120117, Y : -57.41276550292969
X : 41.00652313232422, Y : -57.41300964355469
X : 41.50334548950195, Y : -57.41325378417969
X : 42.0004768371582, Y : -57.41346740722656
X : 42.49789810180664, Y : -57.41366195678711
X : 42.99529266357422, Y : -57.41389846801758
X : 43.49203109741211, Y : -57.41413116455078
X : 43.988250732421875, Y : -57.41432571411133
X : 44.4842529296875, Y : -57.414520263671875
X : 44.98054504394531, Y : -57.41476058959961
X : 45.477298736572266, Y : -57.41500473022461
X : 45.97454071044922, Y : -57.41521453857422
X : 46.472103118896484, Y : -57.41542434692383
X : 46.9696044921875, Y : -57.41566848754883
X : 47.46658706665039, Y : -57.41587448120117
X : 47.96296691894531, Y : -57.416072845458984
X : 48.45943832397461, Y : -57.41630172729492
X : 48.9562873840332, Y : -57.41654586791992
X : 49.45332336425781, Y : -57.41675567626953
X : 49.95015335083008, Y : -57.41697692871094
X : 50.44651794433594, Y : -57.41722106933594
X : 50.942405700683594, Y : -57.41746139526367
X : 51.43811798095703, Y : -57.41770553588867
X : 51.93444061279297, Y : -57.41789245605469
X : 52.43215560913086, Y : -57.41808319091797
X : 52.93152618408203, Y : -57.41828536987305
X : 53.43157196044922, Y : -57.418479919433594
X : 53.93111801147461, Y : -57.4186897277832
X : 54.42875671386719, Y : -57.41893005371094
X : 54.92367935180664, Y : -57.41912841796875
X : 55.41699981689453, Y : -57.41932678222656
X : 55.910457611083984, Y : -57.419525146484375
X : 56.40509033203125, Y : -57.41972351074219
X : 56.90186309814453, Y : -57.41896057128906
X : 57.40071487426758, Y : -57.41743469238281
X : 57.89981460571289, Y : -57.41554641723633
X : 58.39717102050781, Y : -57.41361618041992
X : 58.8922233581543, Y : -57.41147232055664
X : 59.38549041748047, Y : -57.40906524658203
X : 59.878196716308594, Y : -57.40644836425781
X : 60.37155532836914, Y : -57.403778076171875
X : 60.86613082885742, Y : -57.40099334716797
X : 61.362239837646484, Y : -57.3980712890625
X : 61.85961151123047, Y : -57.394344329833984
X : 62.35725784301758, Y : -57.38655090332031
X : 62.853973388671875, Y : -57.373836517333984
X : 63.3494873046875, Y : -57.356868743896484
X : 63.84465789794922, Y : -57.33855438232422
X : 64.33987426757812, Y : -57.31774139404297
X : 64.8353042602539, Y : -57.29369354248047
X : 65.33078002929688, Y : -57.26679992675781
X : 65.82583618164062, Y : -57.23766326904297
X : 66.32037353515625, Y : -57.20802307128906
X : 66.81385803222656, Y : -57.17411804199219
X : 67.30564880371094, Y : -57.13156509399414
X : 67.79735565185547, Y : -57.08125686645508
X : 68.29033660888672, Y : -57.02375793457031
X : 68.78553009033203, Y : -56.96360397338867
X : 69.28174591064453, Y : -56.89888000488281
X : 69.7763900756836, Y : -56.82942581176758
X : 70.26919555664062, Y : -56.75501251220703
X : 70.7587890625, Y : -56.67400360107422
X : 71.24404907226562, Y : -56.58369064331055
X : 71.72725677490234, Y : -56.48965835571289
X : 72.20887756347656, Y : -56.38887405395508
X : 72.69032287597656, Y : -56.27879333496094
X : 73.17279052734375, Y : -56.16099166870117
X : 73.65594482421875, Y : -56.03645706176758
X : 74.13953399658203, Y : -55.90980911254883
X : 74.62203216552734, Y : -55.7800178527832
X : 75.09828186035156, Y : -55.63751220703125
X : 75.56944274902344, Y : -55.48896408081055
X : 76.03617858886719, Y : -55.33445739746094
X : 76.49968719482422, Y : -55.17106246948242
X : 76.96255493164062, Y : -54.99857711791992
X : 77.42816925048828, Y : -54.822059631347656
X : 77.89482116699219, Y : -54.64000701904297
X : 78.35865783691406, Y : -54.45315170288086
X : 78.81964874267578, Y : -54.26082229614258
X : 79.27410125732422, Y : -54.060062408447266
X : 79.72122192382812, Y : -53.849891662597656
X : 80.16600036621094, Y : -53.63612365722656
X : 80.60918426513672, Y : -53.4169807434082
X : 81.0512924194336, Y : -53.18846893310547
X : 81.49248504638672, Y : -52.950809478759766
X : 81.929443359375, Y : -52.7076301574707
X : 82.36431121826172, Y : -52.46280288696289
X : 82.7936019897461, Y : -52.21491241455078
X : 83.20867156982422, Y : -51.95417785644531
X : 83.61841583251953, Y : -51.688201904296875
X : 84.02776336669922, Y : -51.4166259765625
X : 84.44046783447266, Y : -51.14002227783203
X : 84.84730529785156, Y : -50.84785079956055
X : 85.25077056884766, Y : -50.55350112915039
X : 85.6545181274414, Y : -50.259246826171875
X : 86.05369567871094, Y : -49.959930419921875
X : 86.44283294677734, Y : -49.65332794189453
X : 86.82630920410156, Y : -49.344383239746094
X : 87.20342254638672, Y : -49.03005599975586
X : 87.57542419433594, Y : -48.70594787597656
X : 87.94486236572266, Y : -48.37155532836914
X : 88.31439971923828, Y : -48.033172607421875
X : 88.67965698242188, Y : -47.69223403930664
X : 89.0322265625, Y : -47.34001541137695
X : 89.3819351196289, Y : -46.989418029785156
X : 89.72737884521484, Y : -46.63959884643555
X : 90.06401824951172, Y : -46.283485412597656
X : 90.3989028930664, Y : -45.922611236572266
X : 90.7316665649414, Y : -45.554656982421875
X : 91.06099700927734, Y : -45.177547454833984
X : 91.38446044921875, Y : -44.79545974731445
X : 91.701171875, Y : -44.41063690185547
X : 92.0134048461914, Y : -44.02077865600586
X : 92.31769561767578, Y : -43.62729263305664
X : 92.6104965209961, Y : -43.22938537597656
X : 92.8944091796875, Y : -42.825042724609375
X : 93.17774200439453, Y : -42.41533279418945
X : 93.45797729492188, Y : -41.999725341796875
X : 93.73027038574219, Y : -41.581077575683594
X : 93.99576568603516, Y : -41.15947341918945
X : 94.25934600830078, Y : -40.736175537109375
X : 94.50900268554688, Y : -40.30918502807617
X : 94.7557144165039, Y : -39.88362121582031
X : 94.99781036376953, Y : -39.45603561401367
X : 95.23225402832031, Y : -39.021751403808594
X : 95.45914459228516, Y : -38.579715728759766
X : 95.68401336669922, Y : -38.13326644897461
X : 95.90321350097656, Y : -37.68374252319336
X : 96.10716247558594, Y : -37.2283935546875
X : 96.30752563476562, Y : -36.77335739135742
X : 96.50357818603516, Y : -36.31927490234375
X : 96.69682312011719, Y : -35.866416931152344
X : 96.88229370117188, Y : -35.41194152832031
X : 97.05836486816406, Y : -34.952537536621094
X : 97.2208251953125, Y : -34.4847412109375
X : 97.37381744384766, Y : -34.00933074951172
X : 97.52806091308594, Y : -33.533199310302734
X : 97.6796646118164, Y : -33.05711364746094
X : 97.82282257080078, Y : -32.58184051513672
X : 97.96160888671875, Y : -32.10962677001953
X : 98.08950805664062, Y : -31.6380615234375
X : 98.2021255493164, Y : -31.162235260009766
X : 98.30933380126953, Y : -30.679603576660156
X : 98.41239166259766, Y : -30.189208984375
X : 98.50946044921875, Y : -29.69745445251465
X : 98.60042572021484, Y : -29.205841064453125
X : 98.6850357055664, Y : -28.714757919311523
X : 98.76124572753906, Y : -28.226789474487305
X : 98.83423614501953, Y : -27.74077606201172
X : 98.90176391601562, Y : -27.25408172607422
X : 98.96199035644531, Y : -26.762691497802734
X : 99.01612091064453, Y : -26.26532745361328
X : 99.06452941894531, Y : -25.76639175415039
X : 99.10758209228516, Y : -25.269962310791016
X : 99.14895629882812, Y : -24.772884368896484
X : 99.1861343383789, Y : -24.277938842773438
X : 99.21891021728516, Y : -23.785356521606445
X : 99.24676513671875, Y : -23.293048858642578
X : 99.27104187011719, Y : -22.79864501953125
X : 99.29220581054688, Y : -22.30087661743164
X : 99.31267547607422, Y : -21.801212310791016
X : 99.33101654052734, Y : -21.301897048950195
X : 99.34619140625, Y : -20.802562713623047
X : 99.35832977294922, Y : -20.304895401000977
X : 99.3683090209961, Y : -19.80904197692871
X : 99.37789154052734, Y : -19.313207626342773
X : 99.38652038574219, Y : -18.81610679626465
X : 99.39366149902344, Y : -18.317211151123047
X : 99.3994140625, Y : -17.81897735595703
X : 99.40413665771484, Y : -17.325939178466797
X : 99.40802764892578, Y : -16.841503143310547
X : 99.41166687011719, Y : -16.36658477783203
X : 99.41484069824219, Y : -15.899950981140137
X : 99.41696166992188, Y : -15.43941593170166
X : 99.41822814941406, Y : -14.981651306152344
X : 99.41902160644531, Y : -14.524959564208984
X : 99.41979217529297, Y : -14.070670127868652
X : 99.42021942138672, Y : -13.619416236877441
X : 99.42028045654297, Y : -13.171771049499512
X : 99.4200210571289, Y : -12.729694366455078
X : 99.41969299316406, Y : -12.298127174377441
X : 99.41924285888672, Y : -11.877092361450195
X : 99.4185791015625, Y : -11.460928916931152
X : 99.41767120361328, Y : -11.046292304992676
X : 99.41657257080078, Y : -10.632080078125
X : 99.41543579101562, Y : -10.21792221069336
X : 99.41384887695312, Y : -9.803699493408203
X : 99.41183471679688, Y : -9.389372825622559
X : 99.40969848632812, Y : -8.976716995239258
X : 99.40763092041016, Y : -8.572158813476562
X : 99.4053726196289, Y : -8.177088737487793
X : 99.40306091308594, Y : -7.785573959350586
X : 99.40047454833984, Y : -7.388235092163086
X : 99.39774322509766, Y : -6.978073596954346
X : 99.39482879638672, Y : -6.553447246551514
X : 99.3918228149414, Y : -6.114695072174072
X : 99.388671875, Y : -5.663665771484375
X : 99.38533020019531, Y : -5.200047492980957
X : 99.38167572021484, Y : -4.721984386444092
X : 99.37456512451172, Y : -4.230397701263428
X : 99.36550903320312, Y : -3.7296013832092285
X : 99.35101318359375, Y : -3.2283873558044434
X : 99.32842254638672, Y : -2.7286572456359863
