X : -30.794113159179688, Y : -57.65077590942383
X : -30.32674217224121, Y : -57.64997482299805
X : -29.85459327697754, Y : -57.64878845214844
X : -29.387069702148438, Y : -57.64779281616211
X : -28.924728393554688, Y : -57.6465950012207
X : -28.42701530456543, Y : -57.64002990722656
X : -27.91905975341797, Y : -57.63375473022461
X : -27.43641471862793, Y : -57.62614059448242
X : -26.891664505004883, Y : -57.61262893676758
X : -26.361703872680664, Y : -57.59664535522461
X : -25.815153121948242, Y : -57.57891845703125
X : -25.247020721435547, Y : -57.56000900268555
X : -24.707677841186523, Y : -57.54466247558594
X : -24.134525299072266, Y : -57.53194808959961
X : -23.567167282104492, Y : -57.52318572998047
X : -22.99172019958496, Y : -57.52130126953125
X : -22.435237884521484, Y : -57.520751953125
X : -21.821807861328125, Y : -57.52442932128906
X : -21.26800537109375, Y : -57.53144073486328
X : -20.706205368041992, Y : -57.536190032958984
X : -20.160707473754883, Y : -57.543212890625
X : -19.632661819458008, Y : -57.55183029174805
X : -19.137065887451172, Y : -57.56085205078125
X : -18.625011444091797, Y : -57.56586456298828
X : -18.1617374420166, Y : -57.570247650146484
X : -17.695852279663086, Y : -57.57653045654297
X : -17.266843795776367, Y : -57.58386993408203
X : -16.838926315307617, Y : -57.592552185058594
X : -16.41809844970703, Y : -57.60179138183594
X : -15.965782165527344, Y : -57.61115646362305
X : -15.538738250732422, Y : -57.61936950683594
X : -15.149959564208984, Y : -57.62657928466797
X : -14.767492294311523, Y : -57.63356018066406
X : -14.372965812683105, Y : -57.63867950439453
X : -13.986145973205566, Y : -57.641902923583984
X : -13.579687118530273, Y : -57.64453887939453
X : -13.193330764770508, Y : -57.648494720458984
X : -12.831985473632812, Y : -57.65367126464844
X : -12.46790885925293, Y : -57.65958786010742
X : -12.093300819396973, Y : -57.66633224487305
X : -11.73758602142334, Y : -57.6729621887207
X : -11.402484893798828, Y : -57.67220687866211
X : -11.070033073425293, Y : -57.67263412475586
X : -10.713963508605957, Y : -57.67670440673828
X : -10.392534255981445, Y : -57.68072509765625
X : -10.087302207946777, Y : -57.68342590332031
X : -9.76198959350586, Y : -57.6854133605957
X : -9.430938720703125, Y : -57.68722915649414
X : -9.116482734680176, Y : -57.688968658447266
X : -8.829853057861328, Y : -57.685791015625
X : -8.53565502166748, Y : -57.684730529785156
X : -8.264689445495605, Y : -57.687347412109375
X : -7.988587856292725, Y : -57.690940856933594
X : -7.719461441040039, Y : -57.69448471069336
X : -7.4708147048950195, Y : -57.69760513305664
X : -7.216557502746582, Y : -57.69847106933594
X : -6.960912704467773, Y : -57.69799041748047
X : -6.706238269805908, Y : -57.69734573364258
X : -6.447000503540039, Y : -57.69553756713867
X : -6.187620162963867, Y : -57.69320297241211
X : -5.934793949127197, Y : -57.69102096557617
X : -5.667346477508545, Y : -57.69199752807617
X : -5.414317607879639, Y : -57.69486999511719
X : -5.173399448394775, Y : -57.69804000854492
X : -4.911026954650879, Y : -57.70612716674805
X : -4.669244289398193, Y : -57.71623229980469
X : -4.4320855140686035, Y : -57.7261962890625
X : -4.1972150802612305, Y : -57.73545455932617
X : -3.9600579738616943, Y : -57.74415969848633
X : -3.722888946533203, Y : -57.74952697753906
X : -3.476271867752075, Y : -57.75297164916992
X : -3.23608660697937, Y : -57.75588607788086
X : -2.9776246547698975, Y : -57.75390625
X : -2.71463680267334, Y : -57.74794006347656
X : -2.441497564315796, Y : -57.74111557006836
X : -2.159677028656006, Y : -57.73598861694336
X : -1.8713189363479614, Y : -57.7301025390625
